"","Satisfaccion_con_pisos","Satisfaccion_con_muros_y_techos","Satisfaccion_con_pintura_y_recubrimientos","Satisfaccion_con_iluminacion_natural","Satisfaccion_con_ventilacion_natural","Satisfaccion_con_proteccion_contra_exterior","Satisfaccion_con_tamano_de_dormitorios","Satisfaccion_con_tamano_de_banos","Satisfaccion_con_tamano_de_cocina","Satisfaccion_con_tamano_de_sala_comedor","Satisfaccion_con_tamano_de_patio","D1","IndiceSatisfaccion"
"1",5,5,4,4,5,5,5,5,5,5,5,1.01116205083571,89.2206878686726
"2",3,3,3,5,5,5,5,5,5,5,5,0.534259593948991,76.3885543559275
"3",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"4",3,4,5,5,5,3,4,5,5,5,3,0.169327464011704,66.5692343947429
"5",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"6",3,3,4,5,5,5,3,3,4,4,4,-0.643753557287784,44.6914602895185
"7",5,5,4,5,5,5,5,5,5,5,5,1.21647088560609,94.7449839612497
"8",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"9",2,5,2,5,5,5,5,5,5,5,3,0.503739006897984,75.5673292976995
"10",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"11",5,5,3,5,5,5,5,4,5,5,2,0.682526450500363,80.3780076944624
"12",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"13",4,3,4,5,5,5,5,5,5,5,5,0.70319693599266,80.93419361001
"14",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"15",2,2,2,5,5,2,5,4,5,2,5,-0.536485995995168,47.5777353510462
"16",2,4,3,3,5,4,3,4,3,3,2,-1.29606560513614,27.1395371046256
"17",2,2,2,2,5,5,5,2,2,2,2,-1.22984599901121,28.9213245848239
"18",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"19",5,5,3,5,5,5,5,5,5,5,5,1.13100797517884,92.4454120862177
"20",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"21",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"22",3,3,3,5,5,5,5,5,5,5,5,0.534259593948991,76.3885543559275
"23",5,5,3,5,5,5,5,5,5,5,5,1.13100797517884,92.4454120862177
"24",4,4,4,5,5,5,5,5,5,5,5,0.797574529918853,83.4736351003696
"25",4,4,4,5,4,2,2,2,4,4,4,-1.15242106181623,31.0046167066296
"26",4,5,5,5,5,5,5,5,5,5,5,1.20434488332619,94.4187065894631
"27",2,2,2,5,5,5,5,5,5,2,4,-0.142535802978973,58.1778515826895
"28",4,3,2,2,2,2,4,2,4,4,2,-1.72348370696097,15.638891492135
"29",5,4,4,5,5,4,5,5,5,5,5,0.787079009471838,83.1912295104696
"30",4,4,4,4,5,5,5,5,4,4,5,0.134230637259826,65.6248753119782
"31",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"32",5,4,4,5,5,5,5,5,5,2,5,0.697239728105876,80.7739015296013
"33",3,3,2,4,4,2,3,4,2,2,3,-1.70971116280176,16.0094727774881
"34",5,4,3,4,5,5,5,5,5,5,5,0.714229908000984,81.2310605432974
"35",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"36",5,5,4,4,5,5,5,5,5,5,5,1.01116205083571,89.2206878686726
"37",4,4,4,5,5,5,3,4,4,5,5,0.0388511689785412,63.0584761381304
"38",5,5,5,5,5,5,5,5,4,4,5,0.953736948717326,87.6755363041858
"39",5,4,4,5,5,5,5,5,5,4,5,0.770570702959479,82.7470363842299
"40",4,4,4,4,4,4,5,5,5,2,5,-0.140518934578907,58.2321199644384
"41",5,5,5,5,5,4,5,5,5,5,5,1.19384936287918,94.1363009995631
"42",5,4,5,5,5,5,5,5,5,5,5,1.2003027741985,94.3099445496568
"43",5,5,4,5,5,5,5,5,5,5,5,1.21647088560609,94.7449839612497
"44",4,4,3,4,5,5,5,4,3,5,5,-0.0305530009663669,61.1910008038906
"45",5,5,3,5,5,5,5,5,5,2,5,0.823246050086085,84.1643851049125
"46",4,4,4,5,5,5,5,5,5,5,5,0.797574529918853,83.4736351003696
"47",5,4,4,5,5,4,5,5,4,5,5,0.563474901822346,77.174657941332
"48",3,2,3,5,5,2,5,5,5,2,5,-0.195166933581234,56.7616926070704
"49",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"50",5,5,4,4,5,5,5,5,5,5,5,1.01116205083571,89.2206878686726
"51",4,5,5,5,5,5,5,5,5,5,3,0.982579945501588,88.4516220221322
"52",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"53",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"54",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"55",4,4,4,4,5,5,5,5,5,5,5,0.592265695148467,77.9493390077924
"56",5,5,4,4,5,5,5,5,5,5,3,0.789397113011105,83.2536033013417
"57",5,5,4,5,5,5,5,5,4,5,5,0.992866777956603,88.7284123921121
"58",3,3,2,5,5,5,5,5,5,2,5,0.169747648657388,66.5805404079445
"59",4,5,4,5,5,4,4,4,4,2,2,-0.410236999445303,50.9747486316105
"60",5,5,5,5,5,5,5,5,5,5,2,1.19000706878136,94.0329154326691
"61",5,5,4,5,5,5,5,4,5,5,5,0.989754298752225,88.6446641368253
"62",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"63",5,5,5,5,5,5,4,5,4,5,4,0.781288491964492,83.0354226097309
"64",5,5,5,5,5,3,5,5,5,5,3,0.893208811939471,86.0468906111408
"65",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"66",5,4,5,5,5,5,5,5,5,5,5,1.2003027741985,94.3099445496568
"67",3,3,3,5,5,3,5,5,5,3,5,-0.0703005879856528,60.121502553094
"68",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"69",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"70",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"71",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"72",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"73",4,2,3,4,5,5,5,5,5,5,5,0.343363040887734,71.2520531267322
"74",5,5,5,5,5,5,5,5,5,5,3,1.19000706878136,94.0329154326691
"75",5,5,4,5,5,5,4,5,5,5,4,0.809591478614112,83.7969781401182
"76",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"77",5,5,4,5,5,5,4,5,5,5,4,0.809591478614112,83.7969781401182
"78",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"79",3,3,2,4,5,4,4,4,4,4,4,-1.03735295648153,34.1007829548657
"80",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"81",4,4,2,3,3,4,5,4,4,5,4,-0.756083077971933,41.66898182243
"82",3,3,3,4,4,2,3,5,2,2,2,-1.42624455574904,23.6367795685903
"83",4,4,4,4,4,4,5,5,5,5,5,0.167242990513845,66.5131469457436
"84",4,4,4,4,5,5,5,5,5,5,5,0.592265695148467,77.9493390077924
"85",4,4,4,5,5,4,5,5,5,5,5,0.579651886192063,77.6099360999327
"86",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"87",5,5,4,4,4,5,5,5,4,4,4,0.160658085671369,66.3359652665822
"88",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"89",4,4,4,5,4,5,5,5,5,5,2,0.368709531186417,71.9340574714267
"90",5,5,4,5,4,5,3,4,4,4,3,-0.205548424305801,56.482355243391
"91",5,5,5,5,4,4,5,4,5,5,3,0.538267777292871,76.4964035461959
"92",4,4,4,4,4,4,5,5,5,5,5,0.167242990513845,66.5131469457436
"93",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"94",5,5,5,4,4,4,5,5,5,5,5,0.781440467200958,83.039511845374
"95",5,4,5,5,5,5,5,5,5,5,5,1.2003027741985,94.3099445496568
"96",5,4,4,5,5,5,5,5,5,5,5,1.00500165319863,89.0549285109065
"97",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"98",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"99",5,5,5,5,5,5,5,4,4,5,2,0.739686374278001,81.9160240391071
"100",4,4,4,4,4,5,5,5,5,5,5,0.385165634240635,72.3768459461805
"101",5,3,5,5,5,5,5,5,5,5,5,1.10592518027231,91.7705030592972
"102",5,5,3,5,5,5,5,5,5,5,5,1.13100797517884,92.4454120862177
"103",4,4,4,5,5,5,4,4,4,4,4,-0.294056521815639,54.1008457589995
"104",5,5,5,5,5,5,2,5,5,5,3,0.80496089510462,83.6723818731508
"105",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"106",3,3,3,5,5,5,5,3,3,5,5,-0.0880490958552897,59.6439390191966
"107",5,5,4,5,5,5,5,5,5,5,5,1.21647088560609,94.7449839612497
"108",5,5,3,5,5,5,5,5,5,5,5,1.13100797517884,92.4454120862177
"109",5,5,4,5,5,4,5,5,5,5,5,0.998548241879304,88.8812849608128
"110",4,4,5,5,5,5,5,5,5,5,5,0.992875650918725,88.7286511391199
"111",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"112",4,3,3,5,5,4,5,5,5,5,5,0.399811381838612,72.7709227345411
"113",5,5,5,5,5,5,4,5,5,5,4,1.00489259961398,89.0519941788686
"114",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
