"","vid","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6_1","P5_6_2","P5_6_3","P5_7","indice"
"51_4","51_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"82_3","82_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"131_5","131_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"204_3","204_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"237_2","237_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"266_5","266_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"269_2","269_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"272_10","272_10",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"274_17","274_17",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"277_19","277_19",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"279_11","279_11",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"285_6","285_6",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"286_3","286_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"286_5","286_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"286_6","286_6",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"303_3","303_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"319_1","319_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"319_4","319_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"326_1","326_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"327_2","327_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"330_1","330_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"346_5","346_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"347_2","347_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"347_4","347_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"348_3","348_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"351_1","351_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"353_3","353_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"358_5","358_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"359_3","359_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"361_4","361_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"366_3","366_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"372_2","372_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"375_2","375_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"387_2","387_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"390_2","390_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"396_2","396_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"396_3","396_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"396_4","396_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"396_5","396_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"397_2","397_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"403_5","403_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"415_3","415_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"416_5","416_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"423_4","423_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"433_5","433_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"466_4","466_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"476_2","476_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"483_4","483_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"492_4","492_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"495_1","495_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"531_3","531_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"569_4","569_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"581_10","581_10",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"581_14","581_14",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"583_5","583_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"584_1","584_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"584_5","584_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"585_1","585_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"585_12","585_12",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"585_13","585_13",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"586_20","586_20",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"587_5","587_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"588_7","588_7",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"589_4","589_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"589_16","589_16",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"593_3","593_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"601_3","601_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"604_3","604_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"604_5","604_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"604_6","604_6",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"604_16","604_16",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"605_1","605_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"605_3","605_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"605_5","605_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"605_7","605_7",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"605_11","605_11",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"605_13","605_13",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"606_6","606_6",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"606_9","606_9",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"606_10","606_10",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"606_11","606_11",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"606_13","606_13",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"607_9","607_9",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"612_7","612_7",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"613_3","613_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"615_4","615_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"615_17","615_17",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"616_2","616_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"616_5","616_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"616_6","616_6",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"616_17","616_17",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"626_1","626_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"626_2","626_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"628_1","628_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"637_3","637_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"650_5","650_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"725_4","725_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"738_5","738_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"739_3","739_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"768_1","768_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"777_20","777_20",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"780_12","780_12",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"782_4","782_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"786_9","786_9",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"791_12","791_12",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"793_17","793_17",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"796_11","796_11",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"798_12","798_12",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"801_14","801_14",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"801_16","801_16",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"801_18","801_18",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"801_20","801_20",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"806_14","806_14",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"807_11","807_11",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"809_3","809_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"816_13","816_13",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"825_15","825_15",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"829_9","829_9",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"832_1","832_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"832_11","832_11",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"832_15","832_15",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"843_1","843_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"844_4","844_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"850_2","850_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"850_4","850_4",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"859_1","859_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"871_2","871_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"881_3","881_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"922_1","922_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"928_2","928_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"958_3","958_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"991_5","991_5",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"1001_1","1001_1",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"1052_17","1052_17",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"1072_2","1072_2",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"1072_3","1072_3",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"1078_19","1078_19",1,NA,NA,NA,NA,NA,NA,NA,NA,1
