"","vid","P6_7_1","P6_7_2","P6_7_3","P6_7_4","P6_9_1","p2distance.2","estratos...stratumID..."
"1","1_1",1,1,1,1,3,1.54031183089253,"Baja"
"2","1_2",1,1,1,1,4,2.3104677463388,"Media"
"3","1_3",1,1,1,1,4,2.3104677463388,"Media"
"4","1_4",1,1,1,1,1,0,"Muy baja"
"5","1_5",1,1,1,1,2,0.770155915446266,"Muy baja"
"6","2_1",1,1,1,1,4,2.3104677463388,"Media"
"7","2_2",1,1,1,1,4,2.3104677463388,"Media"
"8","2_4",1,1,1,1,4,2.3104677463388,"Media"
"9","3_1",1,1,1,1,4,2.3104677463388,"Media"
"10","3_2",1,1,1,1,4,2.3104677463388,"Media"
"11","3_3",1,1,1,1,4,2.3104677463388,"Media"
"12","3_4",1,1,1,1,2,0.770155915446266,"Muy baja"
"13","3_5",1,1,1,1,4,2.3104677463388,"Media"
"14","4_1",1,1,1,1,3,1.54031183089253,"Baja"
"15","4_2",1,1,1,1,1,0,"Muy baja"
"16","4_3",1,1,1,1,2,0.770155915446266,"Muy baja"
"17","4_4",1,1,1,1,3,1.54031183089253,"Baja"
"18","4_5",1,1,1,1,3,1.54031183089253,"Baja"
"19","5_1",1,1,1,1,4,2.3104677463388,"Media"
"20","5_2",1,1,1,1,4,2.3104677463388,"Media"
"21","5_3",1,1,1,1,1,0,"Muy baja"
"22","5_4",2,2,2,2,4,8.29987591425094,"Muy Alta"
"23","5_5",2,2,2,2,2,6.7595640833584,"Muy Alta"
"24","6_1",1,1,1,1,4,2.3104677463388,"Media"
"25","6_2",1,1,1,1,4,2.3104677463388,"Media"
"26","6_3",2,2,2,2,2,6.7595640833584,"Muy Alta"
"27","6_4",1,1,1,1,4,2.3104677463388,"Media"
"28","6_5",2,2,2,2,1,5.98940816791214,"Muy Alta"
"29","7_1",1,1,1,1,2,0.770155915446266,"Muy baja"
"30","7_2",2,2,2,2,4,8.29987591425094,"Muy Alta"
"31","7_3",1,1,1,1,3,1.54031183089253,"Baja"
"32","7_4",1,1,1,1,3,1.54031183089253,"Baja"
"33","7_5",2,2,2,2,2,6.7595640833584,"Muy Alta"
"34","8_1",2,2,2,2,4,8.29987591425094,"Muy Alta"
"35","8_3",2,2,2,2,4,8.29987591425094,"Muy Alta"
"36","8_4",1,1,1,1,3,1.54031183089253,"Baja"
