"","vid","P4_4","P4_5","P4_6","P4_7_1","P4_7_2","P4_7_3","P4_8_1","P4_8_2","P4_8_3","P4_8_4","p2distance.3","strata.DH_2020...stratumID..."
"1","1_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"2","1_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"3","1_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"4","1_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"5","1_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"6","2_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"7","2_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"8","2_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"9","3_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"10","3_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"11","3_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"12","3_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"13","3_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"14","4_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"15","4_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"16","4_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"17","4_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"18","4_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"19","5_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"20","5_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"21","5_3",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"22","5_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"23","5_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"24","6_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"25","6_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"26","6_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"27","6_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"28","6_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"29","7_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"30","7_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"31","7_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"32","7_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"33","7_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"34","8_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"35","8_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"36","8_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"37","8_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"38","9_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"39","9_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"40","9_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"41","9_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"42","9_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
