vid,EST_DIS,UPM_DIS,FACTOR
1_1,2,1,206
1_2,2,1,206
1_3,2,1,206
1_4,2,1,206
1_5,2,1,206
2_1,2,2,205
2_2,2,2,205
2_4,2,2,205
3_1,2,3,234
3_2,2,3,234
3_3,2,3,234
3_4,2,3,234
3_5,2,3,234
4_1,2,4,198
4_2,2,4,198
4_3,2,4,198
4_4,2,4,198
4_5,2,4,198
5_1,1,5,224
5_2,1,5,224
5_3,1,5,224
5_4,1,5,224
5_5,1,5,224
6_1,2,6,213
6_2,2,6,213
6_3,2,6,213
6_4,2,6,213
6_5,2,6,213
7_1,2,7,201
7_2,2,7,201
7_3,2,7,201
7_4,2,7,201
7_5,2,7,201
8_1,1,8,169
8_3,1,8,169
8_4,1,8,169
8_5,1,8,169
9_1,1,9,226
9_2,1,9,226
9_3,1,9,226
9_4,1,9,226
9_5,1,9,226
10_1,1,10,186
10_2,1,10,186
10_3,1,10,186
10_4,1,10,186
10_5,1,10,186
11_1,1,11,194
11_2,1,11,194
11_4,1,11,194
11_5,1,11,194
12_1,1,12,190
12_3,1,12,190
12_4,1,12,190
12_5,1,12,190
13_1,2,13,234
13_2,2,13,234
13_3,2,13,234
13_4,2,13,234
13_5,2,13,234
14_1,1,14,188
14_2,1,14,188
14_3,1,14,188
14_4,1,14,188
14_5,1,14,188
15_1,2,15,150
15_2,2,15,150
15_3,2,15,150
15_4,2,15,150
15_5,2,15,150
16_1,2,16,187
16_2,2,16,187
16_3,2,16,187
16_4,2,16,187
16_5,2,16,187
17_1,2,17,187
17_2,2,17,187
17_3,2,17,187
18_1,2,18,205
18_2,2,18,205
18_4,2,18,205
18_5,2,18,205
19_1,2,19,194
19_2,2,19,194
19_3,2,19,194
19_4,2,19,194
19_5,2,19,194
20_1,1,20,197
20_2,1,20,197
20_3,1,20,197
20_4,1,20,197
20_5,1,20,197
21_1,2,21,186
21_3,2,21,186
21_4,2,21,186
21_5,2,21,186
22_1,2,22,211
22_2,2,22,211
22_3,2,22,211
22_4,2,22,211
