nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Número de folio consecutivo","7","C","folio","","0000001…0008301"
"Número de Vivienda seleccionada","2","C","viv_sel","","01...24"
"Número de Hogar en la vivienda","1","C","hogar","","1...5"
"Número de Renglón de los residentes del hogar","2","C","n_ren","","01...25"
"Pregunta PAREN ¿Qué es (NOMBRE) del (la) jefe(a) del hogar?","1","C","paren","paren","1…8"
"Pregunta SEXO (NOMBRE) es hombre (NOMBRE) es mujer.","1","C","sexo","sexo","1,2"
"Pregunta EDAD ¿Cuántos años cumplidos tiene (NOMBRE)?","2","C","edad","edad","00…97,99"
"Pregunta P2.5 ¿(NOMBRE) habla alguna lengua indígena?","1","C","p2_5","p2_5","1,2,9"
"Pregunta P2.6 Por sus costumbres y tradiciones, ¿(NOMBRE) se considera indígena?","1","C","p2_6","p2_6","1,2,9"
"Pregunta NIV ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? - NIVEL","2","C","niv","niv","00…10,99"
"Pregunta GRA ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? - GRADO","1","C","gra","","0…9"
"Pregunta P2.8 ¿Actualmente (NOMBRE)...?","1","C","p2_8","p2_8","1…6"
"Pregunta P3.1 ¿La semana pasada (NOMBRE)...?","1","C","p3_1","p3_1","1…8"
"Pregunta P3.2 Aunque ya me dijo que (NOMBRE) (RESPUESTA DE 3.1), ¿la semana pasada...?","1","C","p3_2","p3_2","1…4"
"Pregunta P3.3 ¿En su trabajo de la semana pasada (NOMBRE) fue...?","1","C","p3_3","p3_3","1…5"
"Pregunta P3.4 ¿Cuánto gana o recibe (NOMBRE) por su trabajo o actividad?","5","C","p3_4","p3_4","00000,00009…90000,98000,99888,99999"
"Pregunta P3.4A ¿Cada cuándo?","1","C","p3_4a","p3_4a","1…4,9"
"Pregunta P3.5 Por su trabajo, ¿(NOMBRE) tiene derecho de crédito para vivienda con...?","1","C","p3_5","p3_5","1…4,9"
"Entidad","2","C","ent","ent","01...32"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
"Estrato de diseño","3","C","est_dis","","001...552"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000001...0008301"
"Factor de expansión","5","C","factor","","00004…08610"
