nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Número de folio consecutivo","7","C","folio","","0000008…0008298"
"Número de Vivienda seleccionada","2","C","viv_sel","","01...20"
"Número de Hogar en la vivienda","1","C","hogar","","1…3"
"Consecutivo","2","C","consec","","01…11"
"Pregunta P7.4.2 ¿Quién es la dueña o el dueño de esta(s) vivienda(s)? - NÚMERO DE RENGLÓN","2","C","p7_4_2","","01…09"
"Pregunta P7.4.3 ¿Quién es la dueña o el dueño de esta(s) vivienda(s)? - SEGUNDA PERSONA","2","C","p7_4_3","","01…03"
"Pregunta P7.5 En la vivienda (NÚMERO) de (NOMBRE), ¿cuántos cuartos tiene en total, contando la cocina? (no cuente pasillos ni baños)","2","C","p7_5","p7_5","01…12,99"
"Pregunta P7.6 ¿Esa vivienda…?","1","C","p7_6","p7_6","1…5,9"
"Pregunta P7.7 Durante 2019, ¿en la vivienda (NÚMERO) de (NOMBRE) se hizo alguna construcción, ampliación, renovación, rehabilitación o reforzamiento?","1","C","p7_7","p7_7","1,2,9"
"Pregunta P7.8 ¿Cuánto se gastó en total en materiales, mano de obra o trámites?","9","C","p7_8","p7_8","000000000,000001000…001000000,999999888,999999999"
"Pregunta P7.8A Durante 2020, ¿en la vivienda (NÚMERO) de (NOMBRE) se hizo alguna construcción, ampliación, renovación, rehabilitación o reforzamiento?","1","C","p7_8a","p7_8a","1,2,9"
"Pregunta P7.8B ¿Cuánto se gastó en total en materiales, mano de obra o trámites?","9","C","p7_8b","p7_8b","000000000,000000600…000250000,999999888,999999999"
"Entidad","2","C","ent","ent","01…32"
"Tamaño de localidad","1","C","tloc","tloc","1…4"
"Estrato de diseño","3","C","est_dis","","001…552"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000008…0008298"
"Factor de expansión","5","C","factor","","00059…05003"
