vid,estr_acc,estr_habit,estr_serv,estr_ubi,estr_aseq,estr_cul,estr_ten,estr_satis
1_1,Baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
1_2,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
1_3,Media,Media,Muy Alta,Muy Alta,NA,Alta,Baja,NA
1_4,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Baja,NA
1_5,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
2_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Baja,NA
2_2,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
2_4,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
3_1,Media,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
3_2,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
3_3,Media,Media,Muy Alta,Media,Muy Alta,Alta,Media,Media
3_4,Muy baja,Media,Muy Alta,Muy Alta,NA,Baja,Baja,NA
3_5,Media,Media,Muy Alta,Alta,NA,Alta,Muy Alta,Muy baja
4_1,Baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy baja,NA
4_2,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
4_3,Muy baja,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
4_4,Baja,Media,Muy Alta,Alta,NA,Baja,Muy baja,NA
4_5,Baja,Media,Muy Alta,Alta,NA,Baja,Baja,NA
5_1,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
5_2,Media,Media,Muy Alta,Alta,NA,Baja,Baja,NA
5_3,Muy baja,Baja,Muy Alta,Baja,NA,Alta,Muy Alta,Baja
5_4,Muy Alta,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
5_5,Muy Alta,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
6_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
6_2,Media,Media,Muy Alta,Media,Muy Alta,Alta,Baja,NA
6_3,Muy Alta,Media,Media,Muy Alta,NA,Baja,Baja,NA
6_4,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Muy baja,NA
6_5,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Baja,Baja,NA
7_1,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy baja,NA
7_2,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
7_3,Baja,Media,Muy Alta,Alta,Muy Alta,Baja,Muy baja,NA
7_4,Baja,Media,Muy Alta,Alta,NA,Alta,Muy baja,NA
7_5,Muy Alta,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
8_1,Muy Alta,Baja,Muy Alta,Muy Alta,Muy Alta,Baja,Baja,NA
8_3,Muy Alta,Media,Muy Alta,Media,NA,Alta,Baja,NA
8_4,Baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
8_5,Baja,Media,Muy Alta,Muy baja,NA,Baja,Baja,NA
9_1,Muy Alta,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
9_2,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
9_3,Muy baja,Media,Alta,Alta,Muy Alta,Baja,Muy baja,NA
9_4,Muy baja,Media,Muy Alta,Alta,NA,Baja,Muy Alta,Muy baja
9_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
10_1,Baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
10_2,Media,Media,Muy Alta,Muy Alta,NA,Alta,Baja,NA
