"","vid","ingreso_viv","P5_2","prop_gasto","indice_aseq"
"1","1_1",3500,NA,NA,NA
"2","1_2",18000,NA,NA,NA
"3","1_3",NA,3000,NA,NA
"4","1_4",NA,4000,NA,NA
"5","1_5",23000,NA,NA,NA
"6","10_1",NA,NA,NA,NA
"7","10_2",NA,1000,NA,NA
"8","10_3",NA,0,NA,NA
"9","10_4",4800,1500,0.3125,1
"10","10_5",4800,1000,0.208333333333333,2
"11","100_1",NA,NA,NA,NA
"12","100_2",NA,NA,NA,NA
"13","100_3",NA,NA,NA,NA
"14","100_4",NA,NA,NA,NA
"15","1000_1",NA,5000,NA,NA
"16","1000_2",5000,NA,NA,NA
"17","1000_5",NA,NA,NA,NA
"18","1001_1",NA,NA,NA,NA
"19","1001_2",4800,0,0,2
"20","1001_3",NA,NA,NA,NA
"21","1001_4",800,0,0,2
"22","1001_5",4000,NA,NA,NA
"23","1002_1",NA,NA,NA,NA
"24","1002_2",NA,NA,NA,NA
"25","1002_3",11000,NA,NA,NA
"26","1002_5",NA,NA,NA,NA
"27","1003_1",10000,NA,NA,NA
"28","1003_2",36000,11000,0.305555555555556,1
"29","1003_4",4600,NA,NA,NA
"30","1003_5",5600,NA,NA,NA
"31","1004_1",8400,NA,NA,NA
"32","1004_2",NA,1000,NA,NA
"33","1004_4",14000,NA,NA,NA
"34","1004_5",32400,3000,0.0925925925925926,2
"35","1005_1",6400,3200,0.5,1
"36","1005_2",10000,3500,0.35,1
"37","1005_3",18000,500,0.0277777777777778,2
"38","1005_4",40000,NA,NA,NA
"39","1005_5",NA,NA,NA,NA
"40","1006_1",15000,NA,NA,NA
"41","1006_2",14000,NA,NA,NA
"42","1006_3",26000,NA,NA,NA
"43","1006_4",12800,NA,NA,NA
"44","1006_5",NA,NA,NA,NA
"45","1007_1",10000,0,0,2
"46","1007_2",6000,NA,NA,NA
"47","1007_3",2000,NA,NA,NA
"48","1007_4",NA,NA,NA,NA
"49","1007_5",NA,NA,NA,NA
"50","1008_1",NA,NA,NA,NA
"51","1008_2",NA,NA,NA,NA
"52","1008_3",1200,1500,1.25,1
"53","1008_4",5000,NA,NA,NA
"54","1008_5",9000,NA,NA,NA
"55","1009_1",5000,NA,NA,NA
"56","1009_3",NA,NA,NA,NA
"57","1009_4",11000,NA,NA,NA
"58","1009_5",1200,3500,2.91666666666667,1
"59","101_1",NA,NA,NA,NA
"60","101_2",NA,NA,NA,NA
"61","101_3",NA,1600,NA,NA
"62","101_4",NA,NA,NA,NA
"63","101_5",NA,0,NA,NA
"64","1010_1",NA,NA,NA,NA
"65","1010_2",4000,0,0,2
"66","1010_3",17000,2000,0.117647058823529,2
"67","1010_4",NA,6000,NA,NA
"68","1010_5",NA,5000,NA,NA
"69","1011_1",16400,NA,NA,NA
"70","1011_2",24000,NA,NA,NA
"71","1011_3",NA,NA,NA,NA
"72","1011_4",NA,2500,NA,NA
"73","1011_5",8400,NA,NA,NA
"74","1012_1",15600,0,0,2
"75","1012_2",2800,NA,NA,NA
"76","1012_3",8000,NA,NA,NA
"77","1012_4",4000,NA,NA,NA
"78","1012_5",8000,0,0,2
"79","1013_1",NA,7000,NA,NA
"80","1013_2",NA,NA,NA,NA
"81","1013_3",10000,4500,0.45,1
"82","1013_4",28000,1400,0.05,2
"83","1014_1",11000,NA,NA,NA
"84","1014_2",NA,3500,NA,NA
"85","1014_3",18000,2500,0.138888888888889,2
"86","1014_4",24000,3500,0.145833333333333,2
"87","1014_5",1600,1327,0.829375,1
"88","1015_2",26000,0,0,2
