"vid","P6_6"
"1_1",4
"1_2",4
"1_3",4
"1_4",4
"1_5",4
"2_1",2
"2_2",4
"2_4",4
"3_1",3
"3_2",4
"3_3",4
"3_4",2
"3_5",4
"4_1",4
"4_2",4
"4_3",3
"4_4",1
"4_5",3
"5_1",2
"5_2",2
"5_3",4
"5_4",4
"5_5",4
"6_1",4
"6_2",4
"6_3",3
"6_4",3
"6_5",2
"7_1",4
"7_2",4
"7_3",3
"7_4",4
"7_5",2
"8_1",3
"8_3",4
"8_4",4
"8_5",2
"9_1",4
"9_2",4
"9_3",3
"9_4",3
"9_5",4
"10_1",4
"10_2",4
"10_3",4
"10_4",4
"10_5",4
"11_1",3
"11_2",4
"11_4",4
"11_5",4
"12_1",4
"12_3",4
"12_4",4
"12_5",4
"13_1",4
"13_2",4
"13_3",4
"13_4",4
"13_5",3
"14_1",4
"14_2",4
"14_3",4
"14_4",4
"14_5",4
"15_1",3
"15_2",4
"15_3",4
"15_4",3
"15_5",4
"16_1",3
"16_2",3
"16_3",4
"16_4",3
"16_5",1
"17_1",4
"17_2",1
"17_3",2
"18_1",3
"18_2",4
"18_4",4
"18_5",3
"19_1",4
"19_2",4
"19_3",4
"19_4",2
"19_5",3
"20_1",3
"20_2",2
"20_3",3
"20_4",4
"20_5",4
"21_1",4
"21_3",3
"21_4",4
"21_5",2
"22_1",4
"22_2",2
"22_3",4
"22_4",2
"22_5",4
"23_1",4
"23_2",4
"23_3",4
"23_4",3
"23_5",4
"24_1",4
"24_2",3
"24_3",4
"24_4",3
"24_5",4
"25_2",4
"25_3",4
"25_4",4
"26_1",4
"26_3",3
"26_4",3
"27_1",1
"27_2",4
"27_3",4
"27_4",4
"27_5",3
"28_1",3
"28_2",4
"28_3",3
"28_4",1
"28_5",4
"29_1",4
"29_2",4
"29_4",3
"29_5",4
"30_1",4
"30_2",4
"30_3",3
"30_4",2
"30_5",2
"31_3",4
"31_4",4
"31_5",4
"32_1",4
"32_4",3
"32_5",3
"33_1",4
"33_2",3
"33_3",4
"33_4",4
"33_5",3
"34_1",4
"34_2",4
"34_3",1
"34_4",4
"35_1",4
"35_2",4
"35_3",4
"35_4",4
"35_5",4
"36_1",4
"36_2",3
"36_3",4
"36_4",4
"36_5",4
"37_1",4
"37_3",4
"37_4",3
"37_5",3
"38_1",4
"38_4",4
"38_5",4
"39_1",3
"39_2",2
"39_3",4
"39_4",4
"39_5",4
"40_1",4
"40_2",4
"40_3",3
"40_4",3
"40_5",4
"41_1",4
"41_2",3
"41_3",4
"41_4",3
"41_5",2
"42_1",3
"42_2",4
"42_3",3
"42_4",3
"42_5",3
"43_1",4
"43_2",4
"43_3",4
"43_4",4
"44_1",4
"44_2",4
"44_4",4
"45_1",4
"45_2",4
"45_3",4
"45_4",4
"45_5",1
"46_1",4
"46_2",4
"46_3",4
"46_4",3
"47_2",4
"47_3",4
"47_4",3
"47_5",4
"48_1",4
"48_3",2
"48_4",4
"49_1",4
"49_2",4
"49_3",3
"49_4",3
"49_5",4
"50_1",2
"50_3",4
"50_4",3
"50_5",4
"51_1",4
"51_2",3
"51_3",3
"51_4",2
"51_5",3
"52_2",4
"52_3",4
"52_4",4
"52_5",4
"53_1",3
"53_2",3
"53_3",4
"53_4",2
"53_5",4
"54_1",2
"54_2",4
"54_3",3
"54_4",4
"54_5",4
"55_1",3
"55_2",4
"55_4",3
"55_5",3
"56_1",4
"56_2",4
"56_3",3
"56_5",4
"57_1",3
"57_2",3
"57_4",3
"57_5",2
"58_1",4
"58_2",3
"58_3",4
"58_5",3
"59_1",3
"59_2",3
"59_3",4
"59_4",4
"59_5",4
"60_1",3
"60_2",4
"60_3",4
"60_4",4
"60_5",4
"61_1",4
"61_2",4
"61_3",4
"61_4",4
"61_5",3
"62_2",4
"62_3",4
"62_5",4
"63_1",3
"63_2",3
"63_3",1
"63_4",2
"63_5",4
"64_1",3
"64_2",2
"64_3",4
"64_4",2
"64_5",4
"65_1",4
"65_2",4
"65_3",4
"65_4",4
"65_5",3
"66_1",4
"66_2",4
"66_3",3
"66_4",4
"66_5",4
"67_1",3
"67_2",4
"67_3",3
"67_5",3
"68_1",4
"68_2",4
"68_3",3
"68_4",4
"68_5",4
"69_1",4
"69_2",4
"69_3",4
"69_4",4
"69_5",3
"70_1",3
"70_3",3
"70_5",4
"71_1",3
"71_2",3
"71_3",3
"71_4",4
"71_5",4
"72_1",3
"72_2",3
"72_3",3
"72_4",1
"72_5",3
"73_1",3
"73_2",2
"73_3",3
"73_4",4
"73_5",4
"74_2",4
"74_3",4
"74_5",3
"75_1",4
"75_2",4
"75_3",4
"75_4",4
"76_1",4
"76_2",4
"76_3",4
"76_4",4
"76_5",1
"77_1",4
"77_2",3
"77_3",4
"77_4",3
"77_5",4
"78_1",2
"78_2",4
"78_3",4
"78_4",4
"79_1",4
"79_2",4
"79_3",4
"79_4",4
"79_5",3
"80_1",4
"80_2",2
"80_3",3
"80_4",4
"80_5",4
"81_1",4
