"","vid","P6_7_1","P6_7_2","P6_7_3","P6_7_4","P6_9_1","p2distance.2","estratos...stratumID..."
"1","1_1",1,1,1,1,2,0.770543793426512,"Muy baja"
"2","1_2",1,1,1,1,1,0,"Muy baja"
"3","1_3",1,1,1,1,1,0,"Muy baja"
"4","1_4",1,1,1,1,4,2.31163138027953,"Media"
"5","1_5",1,1,1,1,3,1.54108758685302,"Baja"
"6","2_1",1,1,1,1,1,0,"Muy baja"
"7","2_2",1,1,1,1,1,0,"Muy baja"
"8","2_4",1,1,1,1,1,0,"Muy baja"
"9","3_1",1,1,1,1,1,0,"Muy baja"
"10","3_2",1,1,1,1,1,0,"Muy baja"
"11","3_3",1,1,1,1,1,0,"Muy baja"
"12","3_4",1,1,1,1,3,1.54108758685302,"Baja"
"13","3_5",1,1,1,1,1,0,"Muy baja"
"14","4_1",1,1,1,1,2,0.770543793426512,"Muy baja"
"15","4_2",1,1,1,1,4,2.31163138027953,"Media"
"16","4_3",1,1,1,1,3,1.54108758685302,"Baja"
"17","4_4",1,1,1,1,2,0.770543793426512,"Muy baja"
"18","4_5",1,1,1,1,2,0.770543793426512,"Muy baja"
"19","5_1",1,1,1,1,1,0,"Muy baja"
"20","5_2",1,1,1,1,1,0,"Muy baja"
"21","5_3",1,1,1,1,4,2.31163138027953,"Media"
"22","5_4",2,2,2,2,1,5.98940816791214,"Alta"
"23","5_5",2,2,2,2,3,7.53049575476516,"Muy Alta"
"24","6_1",1,1,1,1,1,0,"Muy baja"
"25","6_2",1,1,1,1,1,0,"Muy baja"
"26","6_3",2,2,2,2,3,7.53049575476516,"Muy Alta"
"27","6_4",1,1,1,1,1,0,"Muy baja"
"28","6_5",2,2,2,2,4,8.30103954819167,"Muy Alta"
"29","7_1",1,1,1,1,3,1.54108758685302,"Baja"
"30","7_2",2,2,2,2,1,5.98940816791214,"Alta"
"31","7_3",1,1,1,1,2,0.770543793426512,"Muy baja"
"32","7_4",1,1,1,1,2,0.770543793426512,"Muy baja"
"33","7_5",2,2,2,2,3,7.53049575476516,"Muy Alta"
"34","8_1",2,2,2,2,1,5.98940816791214,"Alta"
"35","8_3",2,2,2,2,1,5.98940816791214,"Alta"
"36","8_4",1,1,1,1,2,0.770543793426512,"Muy baja"
"37","8_5",1,1,1,1,2,0.770543793426512,"Muy baja"
"38","9_1",2,2,2,2,3,7.53049575476516,"Muy Alta"
"39","9_2",1,1,1,1,1,0,"Muy baja"
"40","9_3",1,1,1,1,4,2.31163138027953,"Media"
"41","9_4",1,1,1,1,3,1.54108758685302,"Baja"
"42","9_5",1,1,1,1,1,0,"Muy baja"
"43","10_1",1,1,1,1,2,0.770543793426512,"Muy baja"
"44","10_2",1,1,1,1,1,0,"Muy baja"
"45","10_3",1,1,1,1,2,0.770543793426512,"Muy baja"
"46","10_4",1,1,1,1,3,1.54108758685302,"Baja"
"47","10_5",1,1,1,1,1,0,"Muy baja"
"48","11_1",1,1,1,1,1,0,"Muy baja"
"49","11_2",1,1,2,1,3,4.52081075577274,"Alta"
"50","11_4",1,1,1,1,4,2.31163138027953,"Media"
"51","11_5",2,2,2,2,4,8.30103954819167,"Muy Alta"
"52","12_1",1,1,1,1,4,2.31163138027953,"Media"
"53","12_3",1,1,1,1,1,0,"Muy baja"
"54","12_4",1,1,1,1,1,0,"Muy baja"
"55","12_5",1,1,1,1,1,0,"Muy baja"
"56","13_1",1,1,1,1,4,2.31163138027953,"Media"
"57","13_2",1,1,1,1,3,1.54108758685302,"Baja"
"58","13_3",1,1,1,1,1,0,"Muy baja"
"59","13_4",1,1,1,1,1,0,"Muy baja"
"60","13_5",2,2,2,2,1,5.98940816791214,"Alta"
"61","14_1",1,1,1,1,2,0.770543793426512,"Muy baja"
"62","14_2",1,1,1,1,1,0,"Muy baja"
"63","14_3",2,1,1,1,4,3.23530901805805,"Media"
"64","14_4",1,1,1,1,1,0,"Muy baja"
"65","14_5",2,2,2,2,1,5.98940816791214,"Alta"
"66","15_1",1,1,1,1,4,2.31163138027953,"Media"
"67","15_2",1,1,1,1,4,2.31163138027953,"Media"
"68","15_3",2,2,1,1,1,1.99653648525451,"Baja"
"69","15_4",2,1,2,2,1,4.91654932043615,"Alta"
"70","15_5",1,1,1,1,3,1.54108758685302,"Baja"
"71","16_1",2,1,1,2,4,4.24845753179597,"Alta"
"72","16_2",1,1,1,1,3,1.54108758685302,"Baja"
"73","16_3",1,1,2,2,3,5.53395926951066,"Alta"
"74","16_4",1,1,1,1,1,0,"Muy baja"
"75","16_5",1,1,1,1,1,0,"Muy baja"
"76","17_1",1,2,2,1,4,6.36421339667524,"Muy Alta"
"77","17_2",2,2,2,2,3,7.53049575476516,"Muy Alta"
"78","17_3",1,1,1,1,3,1.54108758685302,"Baja"
"79","18_1",1,1,1,1,4,2.31163138027953,"Media"
"80","18_2",1,1,1,1,4,2.31163138027953,"Media"
"81","18_4",1,1,1,1,1,0,"Muy baja"
"82","18_5",1,1,1,1,1,0,"Muy baja"
"83","19_1",1,1,1,1,1,0,"Muy baja"
"84","19_2",1,1,1,2,2,1.78369230716443,"Baja"
"85","19_3",1,1,1,1,4,2.31163138027953,"Media"
"86","19_4",1,1,1,1,1,0,"Muy baja"
"87","19_5",1,1,1,1,2,0.770543793426512,"Muy baja"
"88","20_1",1,1,1,1,4,2.31163138027953,"Media"
"89","20_2",1,1,1,1,2,0.770543793426512,"Muy baja"
"90","20_3",1,1,1,1,1,0,"Muy baja"
"91","20_4",1,1,1,1,4,2.31163138027953,"Media"
"92","20_5",1,1,1,1,3,1.54108758685302,"Baja"
"93","21_1",1,1,1,1,1,0,"Muy baja"
"94","21_3",1,1,1,1,2,0.770543793426512,"Muy baja"
"95","21_4",1,1,1,1,4,2.31163138027953,"Media"
"96","21_5",1,1,1,1,2,0.770543793426512,"Muy baja"
"97","22_1",1,1,1,1,1,0,"Muy baja"
"98","22_2",1,1,1,1,2,0.770543793426512,"Muy baja"
"99","22_3",1,1,1,1,3,1.54108758685302,"Baja"
"100","22_4",1,1,1,1,1,0,"Muy baja"
