...1,...2,vid,EST_DIS,UPM_DIS,FACTOR,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,p2distance.3,estratos...stratumID...
1,1,1_1,2,1,206,5,5,4,4,5,5,5,5,5,5,5,27.365471058575018,Alta
2,2,1_2,2,1,206,3,3,3,5,5,5,5,5,5,5,5,24.644140968859876,Media
3,3,1_5,2,1,206,5,5,5,5,5,5,5,5,5,5,5,28.660915058087134,Muy Alta
4,4,2_2,2,2,205,3,4,5,5,5,3,4,5,5,5,3,24.578337101593746,Media
5,5,2_4,2,2,205,5,5,5,5,5,5,5,5,5,5,5,28.659202473464234,Muy Alta
6,6,3_3,2,3,234,3,3,4,5,5,5,3,3,4,4,4,21.539010853476736,Baja
7,7,3_5,2,3,234,5,5,4,5,5,5,5,5,5,5,5,28.13581243971852,Alta
8,8,4_2,2,4,198,5,5,5,5,5,5,5,5,5,5,5,28.64721438110393,Muy Alta
9,9,5_3,1,5,224,2,5,2,5,5,5,5,5,5,5,3,25.225179138976614,Alta
10,10,5_4,1,5,224,5,5,5,5,5,5,5,5,5,5,5,28.69174158129935,Muy Alta
11,11,7_2,2,7,201,5,5,3,5,5,5,5,4,5,5,2,26.927850176792468,Alta
12,12,8_4,1,8,169,5,5,5,5,5,5,5,5,5,5,5,28.597549427039805,Muy Alta
13,13,9_4,1,9,226,4,3,4,5,5,5,5,5,5,5,5,25.833913475425472,Alta
14,14,10_1,1,10,186,5,5,5,5,5,5,5,5,5,5,5,28.626663365629117,Muy Alta
15,15,11_1,1,11,194,2,2,2,5,5,2,5,4,5,2,5,18.468132460782154,Baja
16,16,11_5,1,11,194,2,4,3,3,5,4,3,4,3,3,2,18.13267519601305,Baja
17,17,12_1,1,12,190,2,2,2,2,5,5,5,2,2,2,2,14.43497851406139,Muy baja
18,18,13_2,2,13,234,5,5,5,5,5,5,5,5,5,5,5,28.708867427528357,Muy Alta
19,19,14_3,1,14,188,5,5,3,5,5,5,5,5,5,5,5,27.48397855925525,Alta
20,20,15_1,2,15,150,5,5,5,5,5,5,5,5,5,5,5,28.56501031920469,Muy Alta
21,21,15_2,2,15,150,5,5,5,5,5,5,5,5,5,5,5,28.56501031920469,Muy Alta
22,22,15_3,2,15,150,3,3,3,5,5,5,5,5,5,5,5,24.54823622997743,Media
23,23,15_5,2,15,150,5,5,3,5,5,5,5,5,5,5,5,27.41890034358502,Alta
24,24,16_1,2,16,187,4,4,4,5,5,5,5,5,5,5,5,26.61998890563839,Alta
25,25,16_3,2,16,187,4,4,4,5,4,2,2,2,4,4,4,18.480616463947992,Baja
26,26,16_4,2,16,187,4,5,5,5,5,5,5,5,5,5,5,28.045910123954275,Alta
27,27,16_5,2,16,187,2,2,2,5,5,5,5,5,5,2,4,21.26988022185839,Baja
28,28,17_2,2,17,187,4,3,2,2,2,2,4,2,4,4,2,13.406827957549126,Muy baja
29,29,17_3,2,17,187,5,4,4,5,5,4,5,5,5,5,5,26.45734010831078,Alta
30,30,18_1,2,18,205,4,4,4,4,5,5,5,5,4,4,5,24.504749392671616,Media
31,31,18_4,2,18,205,5,5,5,5,5,5,5,5,5,5,5,28.659202473464234,Muy Alta
32,32,19_5,2,19,194,5,4,4,5,5,5,5,5,5,2,5,25.881108229743695,Alta
33,33,20_2,1,20,197,3,3,2,4,4,2,3,4,2,2,3,14.07617942373707,Muy baja
34,34,20_3,1,20,197,5,4,3,4,5,5,5,5,5,5,5,25.924136578653027,Alta
35,35,20_4,1,20,197,5,5,5,5,5,5,5,5,5,5,5,28.645501796481028,Muy Alta
36,36,21_1,2,21,186,5,5,4,4,5,5,5,5,5,5,5,27.331219366117004,Alta
37,37,21_3,2,21,186,4,4,4,5,5,5,3,4,4,5,5,23.914975695792698,Media
38,38,22_1,2,22,211,5,5,5,5,5,5,5,5,4,4,5,27.245800956724928,Alta
39,39,22_2,2,22,211,5,4,4,5,5,5,5,5,5,4,5,26.799111898034838,Alta
40,40,22_3,2,22,211,4,4,4,4,4,4,5,5,5,2,5,22.833591832606235,Media
41,41,23_2,2,23,230,5,5,5,5,5,4,5,5,5,5,5,27.956902465411403,Alta
42,42,23_3,2,23,230,5,4,5,5,5,5,5,5,5,5,5,27.849150858530702,Alta
43,43,24_1,2,24,223,5,5,4,5,5,5,5,5,5,5,5,28.116974008866613,Alta
44,44,24_2,2,24,223,4,4,3,4,5,5,5,4,3,5,5,22.84934165073862,Media
45,45,24_3,2,24,223,5,5,3,5,5,5,5,5,5,2,5,26.210584426504035,Alta
46,46,24_5,2,24,223,4,4,4,5,5,5,5,5,5,5,5,26.68164195206282,Alta
47,47,25_4,2,25,163,5,4,4,5,5,4,5,5,4,5,5,25.437005917735366,Alta
48,48,26_1,2,26,203,3,2,3,5,5,2,5,5,5,2,5,20.21745851905633,Baja
49,49,27_1,1,27,199,5,5,5,5,5,5,5,5,5,5,5,28.64892696572683,Muy Alta
50,50,27_2,1,27,199,5,5,4,4,5,5,5,5,5,5,5,27.353482966214713,Alta
51,51,27_4,1,27,199,4,5,5,5,5,5,5,5,5,5,3,28.066461139429087,Alta
52,52,28_2,1,28,175,5,5,5,5,5,5,5,5,5,5,5,28.60782493477721,Muy Alta
53,53,28_5,1,28,175,5,5,5,5,5,5,5,5,5,5,5,28.60782493477721,Muy Alta
54,54,29_1,3,29,245,5,5,5,5,5,5,5,5,5,5,5,28.727705858380265,Muy Alta
55,55,29_2,3,29,245,4,4,4,4,5,5,5,5,5,5,5,25.996929802064358,Alta
56,56,29_4,3,29,245,5,5,4,4,5,5,5,5,5,5,3,27.432261858868152,Alta
57,57,29_5,3,29,245,5,5,4,5,5,5,5,5,4,5,5,27.175418710944633,Alta
58,58,30_3,1,30,203,3,3,2,5,5,5,5,5,5,2,5,22.7326136326286,Media
59,59,30_5,1,30,203,4,5,4,5,5,4,4,4,4,2,2,23.29134488822822,Media
60,60,31_3,2,31,191,5,5,5,5,5,5,5,5,5,5,2,28.635226288743624,Muy Alta
61,61,31_4,2,31,191,5,5,4,5,5,5,5,4,5,5,5,27.483779318373294,Alta
62,62,31_5,2,31,191,5,5,5,5,5,5,5,5,5,5,5,28.635226288743624,Muy Alta
63,63,33_2,2,33,196,5,5,5,5,5,5,4,5,4,5,4,27.091718810714077,Alta
64,64,33_5,2,33,196,5,5,5,5,5,3,5,5,5,5,3,27.153559964607425,Alta
65,65,34_1,2,34,235,5,5,5,5,5,5,5,5,5,5,5,28.710580012151258,Muy Alta
66,66,34_2,2,34,235,5,4,5,5,5,5,5,5,5,5,5,27.857713781645206,Alta
67,67,34_3,2,34,235,3,3,3,5,5,3,5,5,5,3,5,22.31468694597147,Media
68,68,34_4,2,34,235,5,5,5,5,5,5,5,5,5,5,5,28.710580012151258,Muy Alta
69,69,35_1,2,35,231,5,5,5,5,5,5,5,5,5,5,5,28.703729673659655,Muy Alta
70,70,35_3,2,35,231,5,5,5,5,5,5,5,5,5,5,5,28.703729673659655,Muy Alta
71,71,35_4,2,35,231,5,5,5,5,5,5,5,5,5,5,5,28.703729673659655,Muy Alta
72,72,35_5,2,35,231,5,5,5,5,5,5,5,5,5,5,5,28.703729673659655,Muy Alta
73,73,36_1,3,36,230,4,2,3,4,5,5,5,5,5,5,5,23.692453583898907,Media
74,74,36_3,3,36,230,5,5,5,5,5,5,5,5,5,5,3,28.702017089036755,Muy Alta
75,75,36_5,3,36,230,5,5,4,5,5,5,4,5,5,5,4,27.556123859708666,Alta
76,76,38_1,2,38,219,5,5,5,5,5,5,5,5,5,5,5,28.683178658184843,Muy Alta
77,77,38_4,2,38,219,5,5,4,5,5,5,4,5,5,5,4,27.53728542885676,Alta
78,78,38_5,2,38,219,5,5,5,5,5,5,5,5,5,5,5,28.683178658184843,Muy Alta
79,79,39_2,2,39,226,3,3,2,4,5,4,4,4,4,4,4,20.06292678962497,Baja
80,80,39_3,2,39,226,5,5,5,5,5,5,5,5,5,5,5,28.69516675054515,Muy Alta
81,81,40_1,1,40,140,4,4,2,3,3,4,5,4,4,5,4,19.592548915323373,Baja
82,82,40_3,1,40,140,3,3,3,4,4,2,3,5,2,2,2,15.130009070602053,Muy baja
83,83,40_4,1,40,140,4,4,4,4,4,4,5,5,5,5,5,24.045332918933017,Media
84,84,41_1,2,41,196,4,4,4,4,5,5,5,5,5,5,5,25.91301315554222,Alta
85,85,41_2,2,41,196,4,4,4,5,5,4,5,5,5,5,5,25.89028754361915,Alta
86,86,41_3,2,41,196,5,5,5,5,5,5,5,5,5,5,5,28.643789211858127,Muy Alta
87,87,42_1,2,42,204,5,5,4,4,4,5,5,5,4,4,4,24.911707990751104,Media
88,88,42_2,2,42,204,5,5,5,5,5,5,5,5,5,5,5,28.657489888841333,Muy Alta
89,89,42_3,2,42,204,4,4,4,5,4,5,5,5,5,5,2,25.6224419701263,Alta
90,90,42_4,2,42,204,5,5,4,5,4,5,3,4,4,4,3,23.910028536856384,Media
91,91,43_1,2,43,226,5,5,5,5,4,4,5,4,5,5,3,26.344999270257905,Alta
92,92,43_2,2,43,226,4,4,4,4,4,4,5,5,5,5,5,24.192615196502487,Media
93,93,43_3,2,43,226,5,5,5,5,5,5,5,5,5,5,5,28.69516675054515,Muy Alta
94,94,43_4,2,43,226,5,5,5,4,4,4,5,5,5,5,5,26.201002241116115,Alta
95,95,44_2,2,44,212,5,4,5,5,5,5,5,5,5,5,5,27.81832433531849,Alta
96,96,44_4,2,44,212,5,4,4,5,5,5,5,5,5,5,5,27.245269347508653,Alta
97,97,45_1,2,45,187,5,5,5,5,5,5,5,5,5,5,5,28.628375950252018,Muy Alta
98,98,45_2,2,45,187,5,5,5,5,5,5,5,5,5,5,5,28.628375950252018,Muy Alta
99,99,45_3,2,45,187,5,5,5,5,5,5,5,4,4,5,2,27.07075180806573,Alta
100,100,45_4,2,45,187,4,4,4,4,4,5,5,5,5,5,5,24.870939019834708,Media
101,101,46_1,2,46,212,5,3,5,5,5,5,5,5,5,5,5,26.965458104812438,Alta
102,102,46_3,2,46,212,5,5,3,5,5,5,5,5,5,5,5,27.52508059020487,Alta
103,103,46_4,2,46,212,4,4,4,5,5,5,4,4,4,4,4,24.087896272655456,Media
104,104,47_4,2,47,188,5,5,5,5,5,5,2,5,5,5,3,26.911573810320164,Alta
105,105,47_5,2,47,188,5,5,5,5,5,5,5,5,5,5,5,28.63008853487492,Muy Alta
106,106,48_3,1,48,320,3,3,3,5,5,5,5,3,3,5,5,21.724127331497993,Media
107,107,49_1,1,49,171,5,5,4,5,5,5,5,5,5,5,5,28.02791960847577,Alta
108,108,49_2,1,49,171,5,5,3,5,5,5,5,5,5,5,5,27.454864620665933,Alta
109,109,49_4,1,49,171,5,5,4,5,5,4,5,5,5,5,5,27.282804984850422,Alta
110,110,49_5,1,49,171,4,4,5,5,5,5,5,5,5,5,5,27.165642539481812,Alta
111,111,50_3,2,50,212,5,5,5,5,5,5,5,5,5,5,5,28.67119056582454,Muy Alta
112,112,50_4,2,50,212,4,3,3,5,5,4,5,5,5,5,5,24.491767679269675,Media
