"","vid","P6_5_1","P6_5_2","P6_5_3","P6_5_4","P6_5_5","P6_5_6","P6_9_2","P6_9_3","P6_9_4","P6_9_5","P6_9_6","P6_9_7","p2distance.3","estratos...stratumID..."
"1","1_1",4,4,4,4,4,3,4,1,1,4,4,1,18.89733812385,"Alta"
"2","1_2",2,4,4,4,4,2,4,4,1,4,4,1,19.4146488312764,"Alta"
"3","1_3",4,4,4,4,4,4,4,4,4,4,4,2,24.939672298492,"Muy Alta"
"4","1_4",3,4,3,4,4,4,2,4,4,4,4,4,22.795997720354,"Muy Alta"
"5","1_5",3,4,4,4,4,4,4,4,4,4,4,2,24.185202946122,"Muy Alta"
"6","2_1",4,4,4,4,4,4,3,4,3,4,3,2,22.5841373646172,"Muy Alta"
"7","2_2",4,4,1,1,4,1,4,4,4,4,4,1,18.6273714123946,"Alta"
"8","2_4",4,4,4,4,4,4,3,4,4,4,4,4,25.2280948897291,"Muy Alta"
"9","3_1",4,4,4,4,4,3,1,2,1,4,4,1,17.6422020780391,"Media"
"10","3_2",4,4,4,4,4,4,4,4,4,4,4,1,24.4489772036532,"Muy Alta"
"11","3_3",4,4,4,4,4,4,1,3,1,3,3,1,17.3664374817989,"Media"
"12","3_4",4,4,2,4,4,3,3,4,4,4,4,4,22.8137236162332,"Muy Alta"
"13","3_5",4,4,4,4,4,4,1,1,4,1,4,4,19.0895269093588,"Alta"
"14","4_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"15","4_2",4,4,4,4,4,4,1,4,4,4,4,3,23.3514645980089,"Muy Alta"
"16","4_3",4,4,4,4,4,4,3,2,2,2,3,3,19.0279812721625,"Alta"
"17","4_4",1,3,4,4,4,4,3,3,4,4,4,3,20.8376560647903,"Alta"
"18","4_5",4,4,4,4,4,4,1,3,3,3,3,3,20.104686334745,"Alta"
"19","5_1",4,4,4,4,2,1,2,4,4,4,1,4,19.4428814376305,"Alta"
"20","5_2",4,4,4,4,4,4,1,4,4,4,1,3,20.9990505866088,"Alta"
"21","5_3",1,1,4,4,1,1,1,2,3,4,4,1,11.7008252412924,"Baja"
"22","5_4",2,4,4,4,4,4,4,4,4,4,4,4,24.4121237834297,"Muy Alta"
"23","5_5",4,4,4,4,4,4,2,4,4,4,4,4,24.5351272912884,"Muy Alta"
"24","6_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"25","6_2",4,2,3,3,3,3,1,1,4,4,2,4,15.5345706594257,"Media"
"26","6_3",4,4,4,4,4,4,2,4,4,4,3,2,22.7695990978107,"Muy Alta"
"27","6_4",4,4,4,4,4,4,4,2,4,4,1,1,20.4490296932308,"Alta"
"28","6_5",3,4,1,3,3,3,4,1,1,4,1,1,11.623310228987,"Baja"
