vid,ingreso_viv,mes_info,mes_fov,mes_insp,mes_fp,mes_onl,mes_fa,gas_tot,prop_gasto
1_1,3500,NA,NA,NA,NA,NA,NA,0,0
1_2,18000,NA,NA,NA,NA,NA,NA,0,0
1_3,NA,NA,NA,NA,NA,NA,NA,0,NA
1_4,NA,NA,NA,NA,NA,NA,NA,0,NA
1_5,23000,NA,NA,NA,NA,NA,NA,0,0
10_1,NA,NA,NA,NA,NA,NA,NA,0,NA
10_2,NA,NA,NA,NA,NA,NA,NA,0,NA
10_3,NA,NA,NA,NA,NA,NA,NA,0,NA
10_4,4800,NA,NA,NA,NA,NA,NA,0,0
10_5,4800,NA,NA,NA,NA,NA,NA,0,0
100_1,NA,NA,NA,NA,NA,NA,NA,0,NA
100_2,NA,NA,NA,NA,NA,NA,NA,0,NA
100_3,NA,NA,NA,NA,NA,NA,NA,0,NA
100_4,NA,NA,NA,NA,NA,NA,NA,0,NA
1000_1,NA,NA,NA,NA,NA,NA,NA,0,NA
1000_2,5000,NA,NA,NA,NA,NA,NA,0,0
1000_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1001_1,NA,NA,NA,NA,NA,NA,NA,0,NA
1001_2,4800,NA,NA,NA,NA,NA,NA,0,0
1001_3,NA,NA,NA,NA,NA,NA,NA,0,NA
1001_4,800,NA,NA,NA,NA,NA,NA,0,0
1001_5,4000,NA,NA,NA,NA,NA,NA,0,0
1002_1,NA,NA,NA,NA,NA,NA,NA,0,NA
1002_2,NA,NA,NA,NA,NA,NA,NA,0,NA
1002_3,11000,NA,NA,NA,NA,NA,NA,0,0
1002_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1003_1,10000,NA,NA,NA,NA,NA,NA,0,0
1003_2,36000,NA,NA,NA,NA,NA,NA,0,0
1003_4,4600,NA,NA,NA,NA,NA,NA,0,0
1003_5,5600,NA,NA,NA,NA,NA,NA,0,0
1004_1,8400,NA,NA,NA,NA,NA,NA,0,0
1004_2,NA,NA,NA,NA,NA,NA,NA,0,NA
1004_4,14000,NA,NA,NA,NA,NA,NA,0,0
1004_5,32400,NA,NA,NA,NA,NA,NA,0,0
1005_1,6400,NA,NA,NA,NA,NA,NA,0,0
1005_2,10000,NA,NA,NA,NA,NA,NA,0,0
1005_3,18000,NA,NA,NA,NA,NA,NA,0,0
1005_4,40000,NA,NA,NA,NA,NA,NA,0,0
1005_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1006_1,15000,NA,NA,NA,NA,NA,NA,0,0
1006_2,14000,NA,NA,NA,NA,NA,NA,0,0
1006_3,26000,NA,NA,NA,NA,NA,NA,0,0
1006_4,12800,NA,NA,NA,NA,NA,NA,0,0
1006_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1007_1,10000,NA,NA,NA,NA,NA,NA,0,0
1007_2,6000,NA,NA,NA,NA,NA,NA,0,0
1007_3,2000,NA,NA,NA,NA,NA,NA,0,0
1007_4,NA,NA,NA,NA,NA,NA,NA,0,NA
1007_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1008_1,NA,NA,NA,NA,NA,NA,NA,0,NA
1008_2,NA,NA,NA,NA,NA,NA,NA,0,NA
1008_3,1200,NA,NA,NA,NA,NA,NA,0,0
1008_4,5000,NA,NA,NA,NA,NA,NA,0,0
1008_5,9000,NA,NA,NA,NA,NA,NA,0,0
1009_1,5000,NA,NA,NA,NA,NA,NA,0,0
1009_3,NA,NA,NA,NA,NA,NA,NA,0,NA
1009_4,11000,NA,NA,NA,NA,NA,NA,0,0
1009_5,1200,NA,NA,NA,NA,NA,NA,0,0
101_1,NA,NA,NA,NA,NA,NA,NA,0,NA
101_2,NA,NA,NA,NA,NA,NA,NA,0,NA
101_3,NA,NA,NA,NA,NA,NA,NA,0,NA
101_4,NA,NA,NA,NA,NA,NA,NA,0,NA
101_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1010_1,NA,NA,NA,NA,NA,NA,NA,0,NA
1010_2,4000,NA,NA,NA,NA,NA,NA,0,0
1010_3,17000,NA,NA,NA,NA,NA,NA,0,0
1010_4,NA,NA,NA,NA,NA,NA,NA,0,NA
1010_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1011_1,16400,NA,NA,NA,NA,NA,NA,0,0
1011_2,24000,NA,NA,NA,NA,NA,NA,0,0
1011_3,NA,NA,NA,NA,NA,NA,NA,0,NA
1011_4,NA,NA,NA,NA,NA,NA,NA,0,NA
1011_5,8400,NA,NA,NA,NA,NA,NA,0,0
1012_1,15600,NA,NA,NA,NA,NA,NA,0,0
1012_2,2800,NA,NA,NA,NA,NA,NA,0,0
1012_3,8000,NA,NA,NA,NA,NA,NA,0,0
1012_4,4000,NA,NA,NA,NA,NA,NA,0,0
1012_5,8000,NA,NA,NA,NA,NA,NA,0,0
1013_1,NA,NA,NA,NA,NA,NA,NA,0,NA
1013_2,NA,NA,NA,NA,NA,NA,NA,0,NA
1013_3,10000,NA,NA,NA,NA,NA,NA,0,0
1013_4,28000,714.2857142857143,NA,NA,NA,NA,NA,714.2857142857143,0.025510204081632654
1014_1,11000,NA,NA,NA,NA,NA,NA,0,0
1014_2,NA,NA,NA,NA,NA,NA,NA,0,NA
1014_3,18000,1875,NA,NA,NA,NA,NA,1875,0.10416666666666667
1014_4,24000,NA,NA,NA,NA,NA,NA,0,0
1014_5,1600,1122.8070175438597,NA,NA,NA,NA,NA,1122.8070175438597,0.7017543859649124
1015_2,26000,NA,NA,NA,NA,NA,NA,0,0
1015_5,12000,NA,NA,NA,NA,NA,NA,0,0
1016_2,800,NA,NA,NA,NA,NA,NA,0,0
1016_3,5400,NA,NA,NA,NA,NA,NA,0,0
1016_4,NA,NA,NA,NA,NA,NA,NA,0,NA
1016_5,5600,NA,NA,NA,NA,NA,NA,0,0
1017_1,7400,NA,NA,NA,NA,NA,NA,0,0
1017_2,14400,NA,NA,NA,NA,NA,NA,0,0
1017_3,27400,NA,NA,NA,NA,NA,NA,0,0
1017_4,10000,NA,NA,NA,NA,NA,NA,0,0
1017_5,12800,NA,NA,NA,NA,NA,NA,0,0
1018_1,18000,NA,NA,NA,NA,NA,NA,0,0
1018_2,6000,NA,NA,NA,NA,NA,NA,0,0
1018_3,34400,NA,NA,NA,NA,NA,NA,0,0
1018_4,11000,NA,NA,NA,NA,NA,NA,0,0
1018_5,7200,NA,NA,NA,NA,NA,NA,0,0
1019_1,4000,NA,NA,NA,NA,NA,NA,0,0
1019_2,26000,NA,NA,NA,NA,NA,NA,0,0
1019_3,23000,NA,NA,NA,NA,NA,NA,0,0
1019_4,8000,NA,NA,NA,NA,NA,NA,0,0
1019_5,NA,NA,NA,NA,NA,NA,NA,0,NA
102_1,NA,NA,NA,NA,NA,NA,NA,0,NA
102_2,NA,NA,NA,NA,NA,NA,NA,0,NA
102_3,NA,NA,NA,NA,NA,NA,NA,0,NA
102_4,NA,NA,NA,NA,NA,NA,NA,0,NA
102_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1020_1,6000,NA,NA,NA,NA,NA,NA,0,0
1020_2,14000,NA,NA,NA,NA,NA,NA,0,0
1020_4,4880,NA,NA,NA,NA,NA,NA,0,0
1021_3,44000,NA,NA,NA,NA,NA,NA,0,0
1021_4,57000,NA,NA,NA,NA,NA,NA,0,0
1021_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1022_1,7200,NA,NA,NA,NA,NA,NA,0,0
1022_2,28000,NA,NA,NA,NA,NA,NA,0,0
1022_3,16000,NA,NA,NA,NA,NA,NA,0,0
1022_4,20000,NA,NA,NA,NA,NA,NA,0,0
1022_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1023_2,15200,NA,NA,NA,NA,NA,NA,0,0
1023_3,2000,NA,NA,NA,NA,NA,NA,0,0
1023_4,6800,NA,NA,NA,NA,NA,NA,0,0
1023_5,17200,NA,NA,NA,NA,NA,NA,0,0
1024_2,NA,NA,NA,NA,NA,NA,NA,0,NA
1024_3,80000,NA,NA,NA,NA,NA,NA,0,0
1024_4,7600,NA,NA,NA,NA,NA,NA,0,0
1024_5,8800,NA,NA,NA,NA,NA,NA,0,0
1025_1,12000,NA,NA,NA,NA,NA,NA,0,0
1025_2,5400,NA,NA,NA,NA,NA,NA,0,0
1025_4,6000,NA,NA,NA,NA,NA,NA,0,0
1026_1,4400,NA,NA,NA,NA,NA,NA,0,0
1026_2,NA,NA,NA,NA,NA,NA,NA,0,NA
1026_3,5000,NA,NA,NA,NA,NA,NA,0,0
1026_4,12000,NA,NA,NA,NA,NA,NA,0,0
1026_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1027_2,13200,NA,NA,NA,NA,NA,NA,0,0
1027_3,20000,NA,NA,NA,NA,NA,NA,0,0
1027_4,6000,NA,NA,NA,NA,NA,NA,0,0
1027_5,6000,NA,NA,NA,NA,NA,NA,0,0
1028_1,8000,NA,NA,NA,NA,NA,NA,0,0
1028_3,NA,NA,NA,NA,NA,NA,NA,0,NA
1028_4,NA,NA,NA,NA,NA,NA,NA,0,NA
1028_5,20000,NA,NA,NA,NA,NA,NA,0,0
1029_2,8000,NA,NA,NA,NA,NA,NA,0,0
1029_3,11700,NA,NA,NA,NA,NA,NA,0,0
1029_4,67000,NA,NA,NA,NA,NA,NA,0,0
1029_5,NA,NA,NA,NA,NA,NA,NA,0,NA
103_1,NA,NA,NA,NA,NA,NA,NA,0,NA
103_2,11600,NA,NA,NA,NA,NA,NA,0,0
103_3,6600,1875,NA,NA,NA,NA,NA,1875,0.2840909090909091
103_4,8800,NA,NA,NA,NA,NA,NA,0,0
103_5,16000,NA,NA,NA,NA,NA,NA,0,0
1030_1,22000,NA,NA,NA,NA,NA,NA,0,0
1030_2,70000,NA,NA,NA,NA,NA,NA,0,0
1030_3,26000,NA,NA,NA,NA,NA,NA,0,0
