Estado,tenencia,cc,discapacidad,desempleo
Aguascalientes,0.088477919285478,0.003778324512074099,0.02795494955342375,5.737264306979822e-4
Baja California,0.10314546623704314,0.009322294525095932,0.028254328270578943,0.0012520007548699596
Baja California Sur,0.08966240804305713,0.02138399071446569,0.019570667955406303,0
Campeche,0.03612343013366679,0.030694430421038733,0.026585788292311636,1.5921959099982137e-4
CDMX,0.1728371413802206,0.0013886325517235294,0.01586063232230687,0
Chiapas,0.033819471258585934,0.03168551823814264,0.03041095599253258,5.745803119453901e-4
Chihuahua,0.05242963952707465,0.005038162725476169,0.03298797022633206,0.002335206810713407
Coahuila,0.05620539910765116,0.004741982320724824,0.018761612229857057,0.0016097143336290176
Colima,0.07523527361449983,0.007376263506448239,0.026211223422795398,0.002640292784942489
Durango,0.04582569871738452,0.014940510005680955,0.019721313180614344,0.0010041687003416574
Guanajuato,0.06167080659193786,0.013010503221576366,0.030070357714761253,4.82921232142632e-4
Guerrero,0.02652196010198787,0.059877917154568305,0.02779947216057229,6.851044651124136e-4
Hidalgo,0.04064337619629439,0.024249723135379507,0.026032859658520018,4.446171566207696e-4
Jalisco,0.12979627980152697,0.0038564513708984277,0.017696831664791853,0
Mexico,0.08131303567815326,0.011706173803992517,0.02521178256593149,6.741118333136762e-4
Michoacan,0.06178069289339708,0.02095795375021142,0.023821604854939896,0.0014911778442937233
Morelos,0.0707923771661888,0.014387777933883867,0.02503247873921784,0
Nayarit,0.0552589176575175,0.011148460940104457,0.03623458162018002,0.00117235248360929
Nuevo Leon,0.07627474171113177,0.002612231140323158,0.021573177080982175,0.0022920221618319323
Oaxaca,0.021947511959583315,0.05691778065900657,0.037596459069164395,0
Puebla,0.06129151794610052,0.026055377071454625,0.03400326049084487,2.4354631400228164e-4
Queretaro,0.06980506239634594,0.013139332203522954,0.026404031066764543,0.002529989819623054
Quintana Roo,0.09169060084945459,0.006766629183707088,0.04184423323473166,0.0022615116853723347
San Luis Potosi,0.04985041383565311,0.04433131168893321,0.020930422061922076,0.001179615926367132
Sinaloa,0.024856317343096453,0.009051514824897808,0.04620328937379975,0.004689171444498916
Sonora,0.053700130461358804,0.011479231099068524,0.020811095601718805,0.002096048754230871
Tabasco,0.041126825786918376,0.050312363986476684,0.02990282497798138,0.002107339491219663
Tamaulipas,0.0638971595562151,0.011427138218210078,0.051676733974170184,0.0020986488463606637
Tlaxcala,0.029855904003527178,0.008052335713583512,0.04736965970465832,6.524089978819051e-4
Veracruz,0.03379102952557754,0.04443843063065797,0.03834691499783334,0.0022484357058671777
Yucatan,0.038916379343007616,0.012621528435570037,0.02390482324858864,0.0026355473042094495
Zacatecas,0.0336395556831482,0.00785725327385553,0.05411081421283926,0.001645209018837091
