"","...1","vid","EST_DIS","UPM_DIS","FACTOR","P6_3_1","P6_3_2","P6_3_3","P6_3_4","P6_3_5","P6_3_6","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_4_5"
"1",1,"1_1",2,1,206,5,5,4,4,5,5,5,5,5,5,5
"2",2,"1_2",2,1,206,3,3,3,5,5,5,5,5,5,5,5
"3",3,"1_5",2,1,206,5,5,5,5,5,5,5,5,5,5,5
"4",4,"2_2",2,2,205,3,4,5,5,5,3,4,5,5,5,3
"5",5,"2_4",2,2,205,5,5,5,5,5,5,5,5,5,5,5
"6",6,"3_3",2,3,234,3,3,4,5,5,5,3,3,4,4,4
"7",7,"3_5",2,3,234,5,5,4,5,5,5,5,5,5,5,5
"8",8,"4_2",2,4,198,5,5,5,5,5,5,5,5,5,5,5
"9",9,"5_3",1,5,224,2,5,2,5,5,5,5,5,5,5,3
"10",10,"5_4",1,5,224,5,5,5,5,5,5,5,5,5,5,5
"11",11,"7_2",2,7,201,5,5,3,5,5,5,5,4,5,5,2
"12",12,"8_4",1,8,169,5,5,5,5,5,5,5,5,5,5,5
"13",13,"9_4",1,9,226,4,3,4,5,5,5,5,5,5,5,5
"14",14,"10_1",1,10,186,5,5,5,5,5,5,5,5,5,5,5
"15",15,"11_1",1,11,194,2,2,2,5,5,2,5,4,5,2,5
"16",16,"11_5",1,11,194,2,4,3,3,5,4,3,4,3,3,2
"17",17,"12_1",1,12,190,2,2,2,2,5,5,5,2,2,2,2
"18",18,"13_2",2,13,234,5,5,5,5,5,5,5,5,5,5,5
"19",19,"14_3",1,14,188,5,5,3,5,5,5,5,5,5,5,5
"20",20,"15_1",2,15,150,5,5,5,5,5,5,5,5,5,5,5
"21",21,"15_2",2,15,150,5,5,5,5,5,5,5,5,5,5,5
"22",22,"15_3",2,15,150,3,3,3,5,5,5,5,5,5,5,5
"23",23,"15_5",2,15,150,5,5,3,5,5,5,5,5,5,5,5
"24",24,"16_1",2,16,187,4,4,4,5,5,5,5,5,5,5,5
"25",25,"16_3",2,16,187,4,4,4,5,4,2,2,2,4,4,4
"26",26,"16_4",2,16,187,4,5,5,5,5,5,5,5,5,5,5
"27",27,"16_5",2,16,187,2,2,2,5,5,5,5,5,5,2,4
"28",28,"17_2",2,17,187,4,3,2,2,2,2,4,2,4,4,2
"29",29,"17_3",2,17,187,5,4,4,5,5,4,5,5,5,5,5
"30",30,"18_1",2,18,205,4,4,4,4,5,5,5,5,4,4,5
"31",31,"18_4",2,18,205,5,5,5,5,5,5,5,5,5,5,5
