uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,C_DENEVI,P3A2_2,P3A2_3,P3A3,P3A4,P3A5,P3A6,P3A7,P3A8_1,P3A8_2,P3A8_3,P3A9,P3A10,P3A11,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
1_5_1,1_5,1,5,1,1,2,NA,8,4,NA,5,2,NA,NA,NA,NA,NA,NA,1,1,2,1,206
3_1_1,3_1,3,1,1,1,1,2,2,3,NA,5,NA,2,NA,NA,3,1,NA,1,1,2,3,234
4_3_1,4_3,4,3,1,1,2,NA,3,2,NA,5,NA,3,NA,NA,4,2,1,1,1,2,4,198
5_1_1,5_1,5,1,1,1,2,NA,3,3,NA,5,NA,2,NA,NA,9,2,1,1,1,1,5,224
5_5_1,5_5,5,5,1,1,1,NA,3,3,NA,5,NA,2,NA,NA,4,2,1,1,1,1,5,224
6_3_1,6_3,6,3,1,1,1,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,6,213
10_5_1,10_5,10,5,1,1,1,NA,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,10,186
13_4_1,13_4,13,4,1,1,1,NA,2,2,NA,5,NA,2,3,NA,3,2,1,1,1,2,13,234
14_2_1,14_2,14,2,1,1,3,NA,3,2,NA,5,NA,2,NA,NA,3,1,NA,1,1,1,14,188
14_3_1,14_3,14,3,1,1,1,NA,1,3,NA,3,NA,1,NA,NA,3,2,8,1,1,1,14,188
14_5_1,14_5,14,5,1,1,1,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,14,188
16_4_1,16_4,16,4,1,1,3,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,1,1,2,16,187
17_1_1,17_1,17,1,1,1,1,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,17,187
17_1_1,17_1,17,1,1,2,1,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,17,187
19_2_1,19_2,19,2,1,1,1,NA,2,2,NA,2,NA,2,NA,NA,3,1,NA,1,1,2,19,194
19_4_1,19_4,19,4,1,1,1,NA,2,2,NA,5,NA,3,NA,NA,3,2,1,1,1,2,19,194
20_1_2,20_1,20,1,2,1,1,NA,3,3,NA,5,NA,1,NA,NA,2,2,3,1,1,1,20,197
22_4_1,22_4,22,4,1,1,2,NA,3,2,NA,5,NA,1,NA,NA,3,2,1,1,1,2,22,211
26_3_1,26_3,26,3,1,1,2,NA,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,26,203
26_4_1,26_4,26,4,1,1,1,NA,2,4,NA,7,1,1,NA,NA,5,1,NA,1,1,2,26,203
27_4_1,27_4,27,4,1,1,3,NA,2,3,NA,3,NA,2,NA,NA,3,1,NA,1,1,1,27,199
