uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,N_INF,P3A1_1,P3A1_2,P4_1,P4_2_2,P7_1,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
1_1_1,1_1,1,1,1,1,2,NA,NA,2,2,1,1,2,1,206
1_2_1,1_2,1,2,1,2,2,NA,NA,2,2,1,1,2,1,206
1_3_1,1_3,1,3,1,1,2,NA,NA,1,1,1,1,2,1,206
1_4_1,1_4,1,4,1,3,2,NA,NA,3,2,1,1,2,1,206
1_5_1,1_5,1,5,1,1,1,1,NA,1,2,1,1,2,1,206
2_1_1,2_1,2,1,1,1,2,NA,NA,1,2,1,1,2,2,205
2_2_1,2_2,2,2,1,1,2,NA,NA,1,2,1,1,2,2,205
2_4_1,2_4,2,4,1,3,2,NA,NA,1,2,1,1,2,2,205
3_1_1,3_1,3,1,1,1,1,1,NA,1,2,1,1,2,3,234
3_2_1,3_2,3,2,1,1,2,NA,NA,1,1,1,1,2,3,234
3_3_1,3_3,3,3,1,1,2,NA,NA,1,2,1,1,2,3,234
3_4_1,3_4,3,4,1,1,2,NA,NA,1,2,1,1,2,3,234
3_5_1,3_5,3,5,1,1,2,NA,NA,1,1,1,1,2,3,234
4_1_1,4_1,4,1,1,1,2,NA,NA,1,2,1,1,2,4,198
4_2_1,4_2,4,2,1,2,2,NA,NA,2,2,1,1,2,4,198
4_3_1,4_3,4,3,1,2,1,1,NA,2,2,1,1,2,4,198
4_4_1,4_4,4,4,1,1,2,NA,NA,1,1,1,1,2,4,198
4_5_1,4_5,4,5,1,5,2,NA,NA,1,1,1,1,2,4,198
5_1_1,5_1,5,1,1,2,1,1,NA,2,2,1,1,1,5,224
5_2_1,5_2,5,2,1,2,2,NA,NA,2,2,1,1,1,5,224
5_3_1,5_3,5,3,1,1,2,NA,NA,1,2,1,1,1,5,224
5_4_1,5_4,5,4,1,1,2,NA,NA,1,1,1,1,1,5,224
5_5_1,5_5,5,5,1,1,1,1,NA,1,2,1,1,1,5,224
6_1_1,6_1,6,1,1,1,2,NA,NA,1,2,1,1,2,6,213
6_2_1,6_2,6,2,1,1,2,NA,NA,1,2,1,1,2,6,213
6_3_1,6_3,6,3,1,1,1,1,NA,1,2,1,1,2,6,213
6_4_1,6_4,6,4,1,1,2,NA,NA,1,2,1,1,2,6,213
6_5_1,6_5,6,5,1,2,2,NA,NA,2,2,1,1,2,6,213
7_1_1,7_1,7,1,1,2,2,NA,NA,2,2,1,1,2,7,201
7_2_1,7_2,7,2,1,2,2,NA,NA,2,2,1,1,2,7,201
7_3_1,7_3,7,3,1,2,2,NA,NA,2,2,1,1,2,7,201
7_4_1,7_4,7,4,1,2,2,NA,NA,2,2,1,1,2,7,201
7_5_1,7_5,7,5,1,4,2,NA,NA,1,1,1,1,2,7,201
8_1_1,8_1,8,1,1,3,2,NA,NA,1,2,1,1,1,8,169
8_3_1,8_3,8,3,1,1,2,NA,NA,1,1,1,1,1,8,169
8_4_1,8_4,8,4,1,1,2,NA,NA,1,2,1,1,1,8,169
8_5_1,8_5,8,5,1,1,2,NA,NA,1,2,1,1,1,8,169
9_1_1,9_1,9,1,1,1,2,NA,NA,1,2,1,1,1,9,226
9_2_1,9_2,9,2,1,3,2,NA,NA,3,2,1,1,1,9,226
9_3_1,9_3,9,3,1,2,2,NA,NA,2,2,1,1,1,9,226
9_4_1,9_4,9,4,1,1,2,NA,NA,1,2,1,1,1,9,226
9_5_1,9_5,9,5,1,1,2,NA,NA,1,2,1,1,1,9,226
10_1_1,10_1,10,1,1,2,2,NA,NA,2,1,1,1,1,10,186
10_2_1,10_2,10,2,1,1,2,NA,NA,1,2,1,1,1,10,186
10_3_1,10_3,10,3,1,1,2,NA,NA,1,1,1,1,1,10,186
10_4_1,10_4,10,4,1,1,2,NA,NA,1,2,1,1,1,10,186
10_5_1,10_5,10,5,1,2,1,1,NA,2,2,1,1,1,10,186
11_1_1,11_1,11,1,1,4,2,NA,NA,4,2,1,1,1,11,194
11_2_1,11_2,11,2,1,1,2,NA,NA,1,2,1,1,1,11,194
11_4_1,11_4,11,4,1,1,2,NA,NA,1,2,1,1,1,11,194
11_5_1,11_5,11,5,1,3,2,NA,NA,3,2,1,1,1,11,194
12_1_1,12_1,12,1,1,1,2,NA,NA,1,2,1,1,1,12,190
12_3_1,12_3,12,3,1,1,2,NA,NA,1,2,1,1,1,12,190
12_4_1,12_4,12,4,1,1,2,NA,NA,1,2,1,1,1,12,190
12_5_1,12_5,12,5,1,5,2,NA,NA,2,2,1,1,1,12,190
13_1_1,13_1,13,1,1,1,2,NA,NA,1,2,1,1,2,13,234
13_2_1,13_2,13,2,1,1,2,NA,NA,1,2,1,1,2,13,234
13_3_1,13_3,13,3,1,1,2,NA,NA,1,2,1,1,2,13,234
13_4_1,13_4,13,4,1,1,1,1,NA,1,1,1,1,2,13,234
13_5_1,13_5,13,5,1,3,2,NA,NA,3,2,1,1,2,13,234
14_1_1,14_1,14,1,1,2,2,NA,NA,2,1,1,1,1,14,188
14_2_1,14_2,14,2,1,2,1,1,NA,2,2,1,1,1,14,188
14_3_1,14_3,14,3,1,1,1,1,NA,1,2,1,1,1,14,188
14_4_1,14_4,14,4,1,3,2,NA,NA,3,1,1,1,1,14,188
14_5_1,14_5,14,5,1,2,1,1,NA,2,2,1,1,1,14,188
15_1_1,15_1,15,1,1,2,2,NA,NA,2,2,1,1,2,15,150
15_2_1,15_2,15,2,1,2,2,NA,NA,2,2,1,1,2,15,150
15_3_1,15_3,15,3,1,2,2,NA,NA,2,1,1,1,2,15,150
15_4_1,15_4,15,4,1,1,2,NA,NA,1,2,1,1,2,15,150
15_5_1,15_5,15,5,1,1,2,NA,NA,1,2,1,1,2,15,150
16_1_1,16_1,16,1,1,2,2,NA,NA,2,2,1,1,2,16,187
16_2_1,16_2,16,2,1,1,2,NA,NA,1,2,1,1,2,16,187
16_3_1,16_3,16,3,1,1,2,NA,NA,1,2,1,1,2,16,187
16_4_1,16_4,16,4,1,3,1,1,NA,3,2,1,1,2,16,187
16_5_1,16_5,16,5,1,3,2,NA,NA,3,2,1,1,2,16,187
17_1_1,17_1,17,1,1,2,1,2,NA,2,2,1,1,2,17,187
17_2_1,17_2,17,2,1,2,2,NA,NA,1,2,1,1,2,17,187
17_3_1,17_3,17,3,1,1,2,NA,NA,1,2,1,1,2,17,187
18_1_1,18_1,18,1,1,1,2,NA,NA,1,1,1,1,2,18,205
18_2_1,18_2,18,2,1,1,2,NA,NA,1,1,1,1,2,18,205
18_4_1,18_4,18,4,1,2,2,NA,NA,1,2,1,1,2,18,205
18_5_1,18_5,18,5,1,2,2,NA,NA,2,2,1,1,2,18,205
19_1_1,19_1,19,1,1,2,2,NA,NA,2,2,1,1,2,19,194
19_2_1,19_2,19,2,1,1,1,1,NA,1,2,1,1,2,19,194
19_3_1,19_3,19,3,1,1,2,NA,NA,1,2,1,1,2,19,194
19_4_1,19_4,19,4,1,3,1,1,NA,3,2,1,1,2,19,194
19_5_1,19_5,19,5,1,1,2,NA,NA,1,2,1,1,2,19,194
20_1_1,20_1,20,1,1,1,2,NA,1,1,2,1,1,1,20,197
20_1_2,20_1,20,1,2,1,1,1,2,NA,2,1,1,1,20,197
20_2_1,20_2,20,2,1,1,2,NA,NA,1,2,1,1,1,20,197
20_3_1,20_3,20,3,1,2,2,NA,NA,2,2,1,1,1,20,197
20_4_1,20_4,20,4,1,1,2,NA,NA,1,1,1,1,1,20,197
20_5_1,20_5,20,5,1,1,2,NA,NA,1,2,1,1,1,20,197
21_1_1,21_1,21,1,1,2,2,NA,NA,2,2,1,1,2,21,186
21_3_1,21_3,21,3,1,3,2,NA,NA,3,1,1,1,2,21,186
21_4_1,21_4,21,4,1,2,2,NA,NA,2,2,1,1,2,21,186
21_5_1,21_5,21,5,1,1,2,NA,NA,1,2,1,1,2,21,186
22_1_1,22_1,22,1,1,2,2,NA,NA,2,2,1,1,2,22,211
22_2_1,22_2,22,2,1,2,2,NA,NA,2,2,1,1,2,22,211
22_3_1,22_3,22,3,1,3,2,NA,NA,3,2,1,1,2,22,211
22_4_1,22_4,22,4,1,1,1,1,NA,1,2,1,1,2,22,211
22_5_1,22_5,22,5,1,1,2,NA,NA,1,2,1,1,2,22,211
23_1_1,23_1,23,1,1,1,2,NA,NA,1,2,1,1,2,23,230
23_2_1,23_2,23,2,1,1,2,NA,NA,1,2,1,1,2,23,230
23_3_1,23_3,23,3,1,2,2,NA,NA,2,2,1,1,2,23,230
23_4_1,23_4,23,4,1,1,2,NA,NA,1,2,1,1,2,23,230
23_5_1,23_5,23,5,1,1,2,NA,NA,1,2,1,1,2,23,230
