uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,CONSEC,P7_4_2,P7_4_3,P7_5,P7_6,P7_7,P7_8,P7_8A,P7_8B,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
8_3_1,8_3,8,3,1,2,1,NA,1,1,2,NA,2,NA,1,1,1,8,169
8_3_1,8_3,8,3,1,4,2,NA,2,3,2,NA,2,NA,1,1,1,8,169
8_3_1,8_3,8,3,1,1,1,NA,2,1,2,NA,2,NA,1,1,1,8,169
8_3_1,8_3,8,3,1,3,3,NA,2,1,2,NA,2,NA,1,1,1,8,169
34_2_1,34_2,34,2,1,1,1,NA,5,2,2,NA,2,NA,1,1,2,34,235
34_3_1,34_3,34,3,1,1,1,NA,3,3,2,NA,2,NA,1,1,2,34,235
35_4_1,35_4,35,4,1,1,1,NA,3,1,2,NA,2,NA,1,1,2,35,231
35_5_1,35_5,35,5,1,2,1,NA,2,1,2,NA,2,NA,1,1,2,35,231
35_5_1,35_5,35,5,1,1,1,NA,2,3,2,NA,2,NA,1,1,2,35,231
36_3_1,36_3,36,3,1,2,1,NA,4,1,2,NA,2,NA,1,1,3,36,230
36_3_1,36_3,36,3,1,1,2,NA,4,1,2,NA,2,NA,1,1,3,36,230
36_5_1,36_5,36,5,1,1,1,NA,4,3,2,NA,2,NA,1,1,3,36,230
52_4_1,52_4,52,4,1,1,2,NA,4,1,2,NA,2,NA,1,1,3,52,232
52_5_1,52_5,52,5,1,1,1,NA,5,1,9,NA,2,NA,1,1,3,52,232
62_3_1,62_3,62,3,1,1,1,NA,4,1,2,NA,2,NA,1,1,2,62,228
62_3_1,62_3,62,3,1,2,1,NA,5,1,2,NA,2,NA,1,1,2,62,228
62_3_1,62_3,62,3,1,3,2,NA,4,1,2,NA,2,NA,1,1,2,62,228
79_5_1,79_5,79,5,1,1,2,NA,7,1,2,NA,2,NA,1,1,1,79,215
81_4_1,81_4,81,4,1,1,1,NA,4,1,2,NA,2,NA,1,1,2,81,239
85_2_1,85_2,85,2,1,1,3,NA,6,1,2,NA,2,NA,1,1,2,85,197
100_2_1,100_2,100,2,1,1,1,NA,2,3,2,NA,2,NA,1,1,2,100,227
100_4_1,100_4,100,4,1,1,1,NA,3,1,2,NA,2,NA,1,1,2,100,227
100_4_1,100_4,100,4,1,2,1,NA,3,2,2,NA,2,NA,1,1,2,100,227
117_1_1,117_1,117,1,1,1,3,NA,3,3,1,60000,1,10000,1,1,1,117,219
119_4_1,119_4,119,4,1,1,2,NA,3,1,2,NA,2,NA,1,1,3,119,216
119_4_1,119_4,119,4,1,2,3,NA,4,3,2,NA,2,NA,1,1,3,119,216
126_5_1,126_5,126,5,1,1,1,NA,4,1,2,NA,2,NA,1,1,2,126,212
126_5_1,126_5,126,5,1,2,1,NA,3,1,2,NA,2,NA,1,1,2,126,212
127_3_1,127_3,127,3,1,1,1,NA,4,1,1,999999999,2,NA,1,1,2,127,217
138_1_1,138_1,138,1,1,1,1,NA,3,3,2,NA,2,NA,1,1,3,138,241
138_4_1,138_4,138,4,1,1,1,NA,2,1,2,NA,2,NA,1,1,3,138,241
139_2_1,139_2,139,2,1,1,2,NA,2,3,2,NA,2,NA,1,1,2,139,193
139_2_1,139_2,139,2,1,2,3,NA,2,3,2,NA,2,NA,1,1,2,139,193
177_3_1,177_3,177,3,1,1,2,NA,6,1,1,100000,1,20000,1,1,3,177,218
177_3_1,177_3,177,3,1,2,2,NA,1,4,2,NA,2,NA,1,1,3,177,218
178_1_1,178_1,178,1,1,2,3,NA,2,3,2,NA,2,NA,1,1,1,178,220
178_1_1,178_1,178,1,1,1,2,NA,2,1,2,NA,2,NA,1,1,1,178,220
181_5_1,181_5,181,5,1,1,2,NA,4,1,1,50000,2,NA,1,1,3,181,225
203_2_1,203_2,203,2,1,1,1,NA,6,1,1,30000,1,20000,1,1,3,203,214
203_4_1,203_4,203,4,1,1,1,NA,7,1,2,NA,2,NA,1,1,3,203,214
219_4_1,219_4,219,4,1,1,1,NA,2,3,2,NA,2,NA,1,1,1,219,232
231_5_1,231_5,231,5,1,1,1,NA,2,3,2,NA,2,NA,1,1,3,231,227
236_2_1,236_2,236,2,1,1,1,NA,8,1,2,NA,2,NA,1,1,1,236,216
252_2_1,252_2,252,2,1,1,1,NA,4,1,2,NA,2,NA,1,2,5,252,215
254_14_1,254_14,254,14,1,1,1,NA,4,1,2,NA,2,NA,1,2,7,254,196
254_14_1,254_14,254,14,1,2,1,NA,7,1,2,NA,2,NA,1,2,7,254,196
