"","vid","EST_DIS","UPM_DIS","FACTOR","P6_3_1","P6_3_2","P6_3_3","P6_3_4","P6_3_5","P6_3_6","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_4_5"
"1","1_1",2,1,206,1,1,2,2,1,1,1,1,1,1,1
"2","1_2",2,1,206,3,3,3,1,1,1,1,1,1,1,1
"3","1_5",2,1,206,1,1,1,1,1,1,1,1,1,1,1
"4","2_2",2,2,205,3,2,1,1,1,3,2,1,1,1,3
"5","2_4",2,2,205,1,1,1,1,1,1,1,1,1,1,1
"6","3_3",2,3,234,3,3,2,1,1,1,3,3,2,2,2
"7","3_5",2,3,234,1,1,2,1,1,1,1,1,1,1,1
"8","4_2",2,4,198,1,1,1,1,1,1,1,1,1,1,1
"9","5_3",1,5,224,4,1,4,1,1,1,1,1,1,1,3
"10","5_4",1,5,224,1,1,1,1,1,1,1,1,1,1,1
"11","7_2",2,7,201,1,1,3,1,1,1,1,2,1,1,4
"12","8_4",1,8,169,1,1,1,1,1,1,1,1,1,1,1
"13","9_4",1,9,226,2,3,2,1,1,1,1,1,1,1,1
"14","10_1",1,10,186,1,1,1,1,1,1,1,1,1,1,1
"15","11_1",1,11,194,4,4,4,1,1,4,1,2,1,4,1
"16","11_5",1,11,194,4,2,3,3,1,2,3,2,3,3,4
"17","12_1",1,12,190,4,4,4,4,1,1,1,4,4,4,4
"18","13_2",2,13,234,1,1,1,1,1,1,1,1,1,1,1
"19","14_3",1,14,188,1,1,3,1,1,1,1,1,1,1,1
"20","15_1",2,15,150,1,1,1,1,1,1,1,1,1,1,1
"21","15_2",2,15,150,1,1,1,1,1,1,1,1,1,1,1
"22","15_3",2,15,150,3,3,3,1,1,1,1,1,1,1,1
"23","15_5",2,15,150,1,1,3,1,1,1,1,1,1,1,1
"24","16_1",2,16,187,2,2,2,1,1,1,1,1,1,1,1
"25","16_3",2,16,187,2,2,2,1,2,4,4,4,2,2,2
"26","16_4",2,16,187,2,1,1,1,1,1,1,1,1,1,1
"27","16_5",2,16,187,4,4,4,1,1,1,1,1,1,4,2
"28","17_2",2,17,187,2,3,4,4,4,4,2,4,2,2,4
"29","17_3",2,17,187,1,2,2,1,1,2,1,1,1,1,1
"30","18_1",2,18,205,2,2,2,2,1,1,1,1,2,2,1
"31","18_4",2,18,205,1,1,1,1,1,1,1,1,1,1,1
"32","19_5",2,19,194,1,2,2,1,1,1,1,1,1,4,1
"33","20_2",1,20,197,3,3,4,2,2,4,3,2,4,4,3
"34","20_3",1,20,197,1,2,3,2,1,1,1,1,1,1,1
"35","20_4",1,20,197,1,1,1,1,1,1,1,1,1,1,1
"36","21_1",2,21,186,1,1,2,2,1,1,1,1,1,1,1
"37","21_3",2,21,186,2,2,2,1,1,1,3,2,2,1,1
"38","22_1",2,22,211,1,1,1,1,1,1,1,1,2,2,1
"39","22_2",2,22,211,1,2,2,1,1,1,1,1,1,2,1
"40","22_3",2,22,211,2,2,2,2,2,2,1,1,1,4,1
"41","23_2",2,23,230,1,1,1,1,1,2,1,1,1,1,1
"42","23_3",2,23,230,1,2,1,1,1,1,1,1,1,1,1
"43","24_1",2,24,223,1,1,2,1,1,1,1,1,1,1,1
"44","24_2",2,24,223,2,2,3,2,1,1,1,2,3,1,1
"45","24_3",2,24,223,1,1,3,1,1,1,1,1,1,4,1
"46","24_5",2,24,223,2,2,2,1,1,1,1,1,1,1,1
"47","25_4",2,25,163,1,2,2,1,1,2,1,1,2,1,1
"48","26_1",2,26,203,3,4,3,1,1,4,1,1,1,4,1
"49","27_1",1,27,199,1,1,1,1,1,1,1,1,1,1,1
"50","27_2",1,27,199,1,1,2,2,1,1,1,1,1,1,1
"51","27_4",1,27,199,2,1,1,1,1,1,1,1,1,1,3
"52","28_2",1,28,175,1,1,1,1,1,1,1,1,1,1,1
"53","28_5",1,28,175,1,1,1,1,1,1,1,1,1,1,1
"54","29_1",3,29,245,1,1,1,1,1,1,1,1,1,1,1
"55","29_2",3,29,245,2,2,2,2,1,1,1,1,1,1,1
"56","29_4",3,29,245,1,1,2,2,1,1,1,1,1,1,3
"57","29_5",3,29,245,1,1,2,1,1,1,1,1,2,1,1
"58","30_3",1,30,203,3,3,4,1,1,1,1,1,1,4,1
"59","30_5",1,30,203,2,1,2,1,1,2,2,2,2,4,4
"60","31_3",2,31,191,1,1,1,1,1,1,1,1,1,1,4
"61","31_4",2,31,191,1,1,2,1,1,1,1,2,1,1,1
"62","31_5",2,31,191,1,1,1,1,1,1,1,1,1,1,1
"63","33_2",2,33,196,1,1,1,1,1,1,2,1,2,1,2
"64","33_5",2,33,196,1,1,1,1,1,3,1,1,1,1,3
"65","34_1",2,34,235,1,1,1,1,1,1,1,1,1,1,1
"66","34_2",2,34,235,1,2,1,1,1,1,1,1,1,1,1
"67","34_3",2,34,235,3,3,3,1,1,3,1,1,1,3,1
"68","34_4",2,34,235,1,1,1,1,1,1,1,1,1,1,1
"69","35_1",2,35,231,1,1,1,1,1,1,1,1,1,1,1
"70","35_3",2,35,231,1,1,1,1,1,1,1,1,1,1,1
"71","35_4",2,35,231,1,1,1,1,1,1,1,1,1,1,1
"72","35_5",2,35,231,1,1,1,1,1,1,1,1,1,1,1
"73","36_1",3,36,230,2,4,3,2,1,1,1,1,1,1,1
"74","36_3",3,36,230,1,1,1,1,1,1,1,1,1,1,3
"75","36_5",3,36,230,1,1,2,1,1,1,2,1,1,1,2
"76","38_1",2,38,219,1,1,1,1,1,1,1,1,1,1,1
"77","38_4",2,38,219,1,1,2,1,1,1,2,1,1,1,2
"78","38_5",2,38,219,1,1,1,1,1,1,1,1,1,1,1
"79","39_2",2,39,226,3,3,4,2,1,2,2,2,2,2,2
"80","39_3",2,39,226,1,1,1,1,1,1,1,1,1,1,1
"81","40_1",1,40,140,2,2,4,3,3,2,1,2,2,1,2
"82","40_3",1,40,140,3,3,3,2,2,4,3,1,4,4,4
"83","40_4",1,40,140,2,2,2,2,2,2,1,1,1,1,1
"84","41_1",2,41,196,2,2,2,2,1,1,1,1,1,1,1
"85","41_2",2,41,196,2,2,2,1,1,2,1,1,1,1,1
"86","41_3",2,41,196,1,1,1,1,1,1,1,1,1,1,1
"87","42_1",2,42,204,1,1,2,2,2,1,1,1,2,2,2
"88","42_2",2,42,204,1,1,1,1,1,1,1,1,1,1,1
